Player,Nationality,Team,League,Position,General Position,Age,Minutes,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Pass Length (Total),Attempted Goal Kicks,Goal Kick Length (Total),Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Distance of Defensive Actions (Total),Matches
Brice Samba,FRA,Rennes,French Ligue 1,GK,Goalkeeper,31,1440,70.0,24.0,45.0,23.5,-0.5,4,59.0,193.0,575.0,66.0,18177.6,92.0,2907.7,236.0,11.0,22.0,478.0,1
Caoimhín Kelleher,IRL,Brentford,English Premier League,GK,Goalkeeper,27,1440,63.0,25.0,39.0,20.4,-4.6,2,96.0,251.0,518.0,78.0,17413.1,79.0,4514.7,229.0,13.0,22.0,383.3,1
Christian Zawieschitzky,AUT,RB Salzburg,UEFA Europa League,GK,Goalkeeper,18,90,2.0,0.0,2.0,0.2,0.2,1,3.0,11.0,32.0,2.0,979.2,3.0,41.1,19.0,0.0,0.0,0.0,1
Dani van den Heuvel,NED,Club Brugge,UEFA Champions League,GK,Goalkeeper,22,90,10.0,3.0,7.0,3.5,0.5,0,6.0,10.0,31.0,5.0,985.8,5.0,197.0,19.0,1.0,0.0,0.0,1
Daniel Batz,GER,Mainz 05,"German Bundesliga, UEFA Europa Conference League",GK,Goalkeeper,34,270,22.0,4.0,19.0,7.9,3.9,0,26.0,66.0,101.0,9.0,4020.5,14.0,806.9,49.0,3.0,3.0,46.4,1
Daniel Heuer Fernandes,POR,Hamburger SV,German Bundesliga,GK,Goalkeeper,33,1260,69.0,24.0,44.0,22.2,-1.8,3,72.0,213.0,663.0,36.0,19596.6,67.0,2685.9,196.0,8.0,15.0,243.3,1
David Raya,ESP,Arsenal,"English Premier League, UEFA Champions League",GK,Goalkeeper,30,1980,52.0,11.0,41.0,10.9,-0.1,13,112.0,329.0,710.0,103.0,24712.7,80.0,4104.9,204.0,18.0,36.0,840.5,1
David Soria,ESP,Getafe,Spanish La Liga,GK,Goalkeeper,32,1440,68.0,18.0,52.0,17.1,-0.9,4,149.0,402.0,375.0,17.0,19197.7,102.0,6195.9,176.0,4.0,22.0,497.5,1
David de Gea,ESP,Fiorentina,"Italian Serie A, UEFA Europa Conference League",GK,Goalkeeper,35,1710,87.0,28.0,58.0,25.7,-2.3,4,86.0,253.0,532.0,66.0,18415.7,90.0,3835.1,251.0,5.0,16.0,305.9,1
Dean Henderson,ENG,Crystal Palace,"English Premier League, UEFA Europa Conference League",GK,Goalkeeper,28,1800,67.0,19.0,48.0,22.1,3.1,8,95.0,343.0,531.0,79.0,20754.7,137.0,6807.8,276.0,11.0,9.0,187.6,1
Diant Ramaj,GER,Heidenheim,German Bundesliga,GK,Goalkeeper,24,1260,71.0,30.0,41.0,28.0,-2.0,0,122.0,316.0,649.0,65.0,24950.4,98.0,5015.7,214.0,20.0,21.0,314.3,1
Dimitar Mitov,BUL,Aberdeen,UEFA Europa Conference League,GK,Goalkeeper,28,450,24.0,11.0,12.0,9.7,-1.3,1,21.0,81.0,130.0,20.0,4885.3,23.0,1318.6,72.0,4.0,3.0,44.8,1
Diogo Costa,POR,Porto,UEFA Europa League,GK,Goalkeeper,26,540,13.0,5.0,9.0,3.1,-1.9,2,21.0,51.0,204.0,32.0,5379.3,25.0,791.5,50.0,2.0,10.0,175.9,1
Dmytro Riznyk,UKR,Shakhtar,UEFA Europa Conference League,GK,Goalkeeper,26,180,5.0,2.0,3.0,2.0,0.0,1,3.0,13.0,55.0,4.0,1540.6,6.0,124.2,19.0,3.0,5.0,105.0,1
Dominik Greif,SVK,Lyon,"French Ligue 1, UEFA Europa League",GK,Goalkeeper,28,1440,58.0,15.0,41.0,17.4,2.4,9,50.0,137.0,564.0,55.0,15046.9,49.0,1969.3,179.0,13.0,30.0,542.6,1
Dominik Kotarski,CRO,FC Copenhagen,UEFA Champions League,GK,Goalkeeper,25,540,30.0,16.0,15.0,11.4,-4.6,0,33.0,86.0,150.0,18.0,5476.4,36.0,1777.3,67.0,0.0,10.0,175.1,1
Dominik Takáč,SVK,Slovan Bratislava,UEFA Europa Conference League,GK,Goalkeeper,26,450,31.0,9.0,23.0,8.5,-0.5,0,19.0,61.0,132.0,19.0,4383.3,34.0,1154.9,68.0,2.0,8.0,150.8,1
Donovan Léon,GUF,Auxerre,French Ligue 1,GK,Goalkeeper,33,1214,63.0,21.0,43.0,19.0,-2.0,3,74.0,233.0,353.0,53.0,14512.4,73.0,4256.5,152.0,6.0,14.0,266.7,1
Dávid Gróf,HUN,Ferencváros,UEFA Europa League,GK,Goalkeeper,36,90,2.0,1.0,1.0,1.4,0.4,0,5.0,9.0,25.0,2.0,802.5,1.0,66.0,9.0,0.0,0.0,0.0,1
Dénes Dibusz,HUN,Ferencváros,UEFA Europa League,GK,Goalkeeper,35,450,18.0,5.0,13.0,3.6,-1.4,1,38.0,84.0,124.0,17.0,4569.7,34.0,1739.1,90.0,3.0,3.0,43.6,1
Ed McGinty,IRL,"Shamrock Rov, Shamrock Rovers",UEFA Europa Conference League,GK,Goalkeeper,26,450,30.0,12.0,18.0,12.4,0.4,0,23.0,80.0,85.0,13.0,3680.5,45.0,2312.8,74.0,1.0,1.0,17.0,1
Ederson,BRA,Fenerbahçe,UEFA Europa League,GK,Goalkeeper,32,540,17.0,5.0,12.0,5.0,0.0,3,36.0,94.0,206.0,22.0,7284.3,38.0,1660.1,80.0,7.0,10.0,234.1,1
Edoardo Corvi,ITA,Parma,Italian Serie A,GK,Goalkeeper,24,360,13.0,4.0,9.0,4.9,0.9,1,16.0,44.0,123.0,19.0,3964.2,16.0,649.2,86.0,4.0,10.0,174.6,1
Elia Caprile,ITA,Cagliari,Italian Serie A,GK,Goalkeeper,24,1350,75.0,21.0,54.0,24.0,3.0,3,74.0,214.0,407.0,72.0,14818.3,91.0,3592.0,202.0,26.0,17.0,344.5,1
Elías Rafn Ólafsson,ISL,Midtjylland,UEFA Europa League,GK,Goalkeeper,25,540,29.0,5.0,24.0,6.3,1.3,3,32.0,87.0,214.0,48.0,7057.7,35.0,1495.8,87.0,7.0,8.0,143.0,1
Emil Audero,IDN,Cremonese,Italian Serie A,GK,Goalkeeper,28,990,55.0,11.0,44.0,12.9,1.9,4,59.0,235.0,433.0,55.0,15952.7,63.0,3232.4,190.0,16.0,7.0,107.1,1
Emiliano Martínez,ARG,Aston Villa,"English Premier League, UEFA Europa League",GK,Goalkeeper,33,1350,49.0,12.0,36.0,13.3,1.3,5,63.0,176.0,550.0,60.0,16530.6,51.0,2440.0,186.0,15.0,14.0,250.6,1
Etrit Berisha,ALB,Häcken,UEFA Europa Conference League,GK,Goalkeeper,36,450,20.0,7.0,14.0,6.3,-0.7,1,21.0,54.0,160.0,23.0,4697.3,17.0,862.4,43.0,4.0,10.0,191.8,1
Fabiano,CYP,AC Omonia,UEFA Europa Conference League,GK,Goalkeeper,37,90,2.0,1.0,1.0,0.3,-0.7,0,0.0,0.0,12.0,4.0,266.4,4.0,89.2,14.0,0.0,0.0,0.0,1
Faton Maloku,KVX,KF Drita,UEFA Europa Conference League,GK,Goalkeeper,34,450,21.0,5.0,16.0,5.1,0.1,2,16.0,52.0,116.0,28.0,3742.4,48.0,1577.2,79.0,6.0,3.0,42.9,1
Federico Ravaglia,ITA,Bologna,"Italian Serie A, UEFA Europa League",GK,Goalkeeper,26,630,28.0,7.0,21.0,9.6,2.6,2,27.0,89.0,308.0,34.0,9545.3,35.0,1410.8,80.0,1.0,13.0,259.5,1
Filip Jørgensen,DEN,Chelsea,"English Premier League, UEFA Champions League",GK,Goalkeeper,23,173,4.0,3.0,1.0,2.3,-0.7,0,3.0,11.0,42.0,3.0,1037.8,7.0,256.0,23.0,0.0,4.0,73.5,1
Finn Dahmen,GER,Augsburg,German Bundesliga,GK,Goalkeeper,27,1260,65.0,28.0,37.0,23.5,-4.5,2,90.0,277.0,534.0,48.0,18890.7,99.0,5206.9,180.0,11.0,33.0,601.5,1
Florian Wiegele,AUT,Viktoria Plzeň,UEFA Europa League,GK,Goalkeeper,24,180,10.0,0.0,10.0,2.4,2.4,2,16.0,36.0,65.0,5.0,2349.8,9.0,518.4,28.0,1.0,2.0,33.0,1
Francis Uzoho,NGA,AC Omonia,UEFA Europa Conference League,GK,Goalkeeper,27,360,18.0,2.0,15.0,5.4,3.4,2,13.0,49.0,91.0,21.0,3027.7,16.0,804.2,71.0,3.0,1.0,13.7,1
Franco Israel,URU,Torino,Italian Serie A,GK,Goalkeeper,25,810,41.0,18.0,23.0,12.8,-5.2,3,58.0,168.0,273.0,33.0,10659.9,50.0,2531.3,121.0,7.0,5.0,110.4,1
Frederik Rønnow,DEN,Union Berlin,German Bundesliga,GK,Goalkeeper,33,1260,63.0,23.0,39.0,22.6,-0.4,3,92.0,296.0,385.0,55.0,15251.3,97.0,5797.1,209.0,19.0,11.0,201.0,1
Gerónimo Rulli,ARG,Marseille,"French Ligue 1, UEFA Champions League",GK,Goalkeeper,33,1710,89.0,20.0,70.0,22.3,2.3,6,70.0,184.0,647.0,94.0,18456.6,71.0,2712.0,204.0,34.0,53.0,1097.8,1
Gianluigi Donnarumma,ITA,Manchester City,"English Premier League, UEFA Champions League",GK,Goalkeeper,26,1620,47.0,16.0,30.0,15.6,-0.4,8,44.0,128.0,438.0,64.0,12238.6,48.0,2062.9,214.0,11.0,10.0,149.3,1
Giorgi Mamardashvili,GEO,Liverpool,"English Premier League, UEFA Champions League",GK,Goalkeeper,25,755,36.0,15.0,20.0,11.0,-4.0,3,29.0,89.0,260.0,40.0,7957.5,36.0,1442.1,79.0,2.0,13.0,316.8,1
Goran Karaćić,BIH,Zrinjski Mostar,UEFA Europa Conference League,GK,Goalkeeper,29,270,5.0,2.0,3.0,2.1,0.1,1,16.0,47.0,77.0,12.0,2781.1,23.0,1178.6,45.0,2.0,2.0,48.0,1
Gregor Kobel,SUI,Dortmund,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,28,1800,75.0,25.0,51.0,24.9,-0.1,8,62.0,210.0,607.0,78.0,19630.7,76.0,2694.9,251.0,7.0,22.0,426.9,1
Grégoire Coudert,FRA,Brest,French Ligue 1,GK,Goalkeeper,26,572,31.0,12.0,20.0,11.8,-0.2,1,39.0,125.0,182.0,28.0,7226.6,41.0,2385.0,103.0,7.0,8.0,127.4,1
Guglielmo Vicario,ITA,Tottenham,"English Premier League, UEFA Champions League",GK,Goalkeeper,29,1980,95.0,28.0,67.0,30.3,2.3,9,91.0,295.0,794.0,102.0,25685.5,97.0,3804.7,275.0,14.0,41.0,773.0,1
Guillaume Restes,FRA,Toulouse,French Ligue 1,GK,Goalkeeper,20,1440,48.0,19.0,29.0,17.8,-1.2,6,74.0,192.0,388.0,48.0,13135.1,65.0,2932.5,228.0,16.0,16.0,284.3,1
Günay Güvenç,TUR,Galatasaray,UEFA Champions League,GK,Goalkeeper,34,23,1.0,1.0,0.0,0.9,-0.1,0,0.0,0.0,9.0,1.0,188.1,3.0,77.1,3.0,0.0,1.0,34.0,1
Hendrik Bonmann,GER,Ludogorets,UEFA Europa League,GK,Goalkeeper,31,270,21.0,8.0,13.0,8.9,0.9,0,18.0,57.0,126.0,14.0,4196.6,21.0,1055.3,50.0,6.0,2.0,27.6,1
Hendrik Van Crombrugge,BEL,Genk,UEFA Europa League,GK,Goalkeeper,32,540,26.0,6.0,19.0,8.6,2.6,2,33.0,86.0,206.0,15.0,6748.3,22.0,887.4,89.0,3.0,1.0,15.4,1
Henry Bonello,MLT,Ħamrun Spartans FC,UEFA Europa Conference League,GK,Goalkeeper,37,450,31.0,8.0,23.0,7.8,-0.2,0,23.0,56.0,140.0,21.0,4751.9,28.0,1081.5,44.0,3.0,6.0,114.1,1
Hervé Koffi,BFA,Angers,French Ligue 1,GK,Goalkeeper,29,1350,78.0,16.0,60.0,23.0,7.0,5,50.0,171.0,426.0,77.0,13896.3,92.0,3341.7,231.0,28.0,10.0,135.9,1
Ionuț Radu,ROU,Celta Vigo,"Spanish La Liga, UEFA Europa League",GK,Goalkeeper,28,1800,87.0,25.0,61.0,24.7,-0.3,3,51.0,183.0,418.0,103.0,13067.8,152.0,6145.6,269.0,10.0,12.0,209.7,1
Ivan Filipović,CRO,Dinamo Zagreb,UEFA Europa League,GK,Goalkeeper,31,180,14.0,7.0,8.0,4.8,-2.2,0,3.0,15.0,74.0,15.0,1800.1,11.0,391.0,21.0,2.0,3.0,45.1,1
Ivan Nevistić,CRO,Dinamo Zagreb,UEFA Europa League,GK,Goalkeeper,27,360,12.0,6.0,7.0,3.2,-2.8,0,18.0,53.0,178.0,13.0,4745.8,16.0,641.3,47.0,3.0,8.0,150.1,1
Ivan Provedel,ITA,Lazio,Italian Serie A,GK,Goalkeeper,31,1350,68.0,11.0,57.0,17.7,6.7,8,65.0,196.0,472.0,60.0,16078.4,77.0,3297.2,204.0,13.0,12.0,268.8,1
Iván Villar,ESP,Celta Vigo,UEFA Europa League,GK,Goalkeeper,28,180,9.0,3.0,6.0,2.6,-0.4,1,2.0,11.0,47.0,10.0,1142.3,7.0,343.0,24.0,0.0,2.0,40.6,1
Iñaki Peña,ESP,Elche,Spanish La Liga,GK,Goalkeeper,26,900,48.0,14.0,34.0,17.3,3.3,3,34.0,145.0,572.0,43.0,15603.0,38.0,1361.4,144.0,5.0,22.0,419.5,1
Jack Butland,ENG,Rangers,UEFA Europa League,GK,Goalkeeper,32,540,28.0,11.0,16.0,10.9,-0.1,0,40.0,90.0,180.0,29.0,6606.2,21.0,1090.1,66.0,6.0,10.0,206.3,1
Jakub Markovič,CZE,Slavia Prague,UEFA Champions League,GK,Goalkeeper,24,180,13.0,3.0,10.0,4.7,1.7,1,19.0,42.0,50.0,3.0,2084.2,16.0,828.1,20.0,1.0,4.0,62.2,1
James Trafford,ENG,Manchester City,"English Premier League, UEFA Champions League",GK,Goalkeeper,23,360,17.0,6.0,11.0,7.1,1.1,1,10.0,38.0,122.0,13.0,3500.6,15.0,674.7,33.0,2.0,17.0,363.9,1
Jan Koutny,CZE,Sigma Olomouc,UEFA Europa Conference League,GK,Goalkeeper,21,450,19.0,7.0,13.0,6.1,-0.9,0,20.0,71.0,103.0,13.0,4090.3,33.0,1652.5,56.0,2.0,7.0,117.5,1
Jan Oblak,SVN,Atlético Madrid,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,32,1890,68.0,27.0,41.0,24.3,-2.7,5,128.0,273.0,547.0,85.0,17886.3,155.0,7544.6,274.0,19.0,21.0,397.1,1
Jari De Busser,BEL,Go Ahead Eag,UEFA Europa League,GK,Goalkeeper,26,540,44.0,11.0,33.0,13.5,2.5,0,23.0,85.0,221.0,20.0,7130.1,35.0,1903.3,104.0,4.0,3.0,63.5,1
Jaylan Hankins,GIB,Red Imps,UEFA Europa Conference League,GK,Goalkeeper,25,360,24.0,6.0,18.0,4.4,-1.6,0,28.0,92.0,102.0,15.0,4750.6,40.0,2079.4,80.0,4.0,1.0,12.0,1
Jean Butez,FRA,Como,Italian Serie A,GK,Goalkeeper,30,1260,51.0,11.0,40.0,13.9,2.9,6,69.0,145.0,520.0,64.0,15265.8,37.0,1560.2,136.0,14.0,36.0,726.2,1
Jeffrey De Lange,NED,Marseille,French Ligue 1,GK,Goalkeeper,27,270,11.0,3.0,8.0,3.2,0.2,1,4.0,15.0,82.0,7.0,1904.2,7.0,256.0,33.0,0.0,2.0,35.5,1
Jindřich Staněk,CZE,Slavia Prague,UEFA Champions League,GK,Goalkeeper,29,360,28.0,8.0,20.0,10.4,2.4,1,25.0,69.0,134.0,19.0,4758.4,24.0,1232.4,47.0,4.0,2.0,28.8,1
Jiří Pavlenka,CZE,PAOK,UEFA Europa League,GK,Goalkeeper,33,360,19.0,7.0,11.0,8.1,1.1,1,10.0,33.0,107.0,12.0,3726.9,13.0,494.9,46.0,1.0,11.0,242.3,1
Joan García,ESP,Barcelona,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,24,1260,46.0,14.0,33.0,15.7,1.7,5,25.0,66.0,440.0,98.0,11325.7,42.0,1328.3,134.0,11.0,62.0,1404.2,1
Johannes Kreidl,AUT,KuPS,UEFA Europa Conference League,GK,Goalkeeper,29,450,19.0,3.0,16.0,5.9,2.9,2,43.0,92.0,258.0,19.0,8219.8,27.0,1146.2,83.0,5.0,6.0,118.8,1
John,BRA,Nott'ham Forest,"English Premier League, UEFA Europa League",GK,Goalkeeper,29,360,7.0,1.0,6.0,2.0,1.0,3,16.0,39.0,94.0,3.0,3078.8,6.0,300.0,31.0,0.0,3.0,61.8,1
Jonas Urbig,GER,Bayern Munich,German Bundesliga,GK,Goalkeeper,22,180,1.0,0.0,1.0,0.1,0.1,2,10.0,21.0,78.0,8.0,2226.0,4.0,230.0,14.0,1.0,7.0,161.0,1
Jonathan Fischer,DEN,Metz,French Ligue 1,GK,Goalkeeper,24,1364,87.0,33.0,54.0,32.0,-1.0,3,54.0,142.0,565.0,63.0,15161.5,78.0,3195.8,204.0,6.0,16.0,319.6,1
Jordan Pickford,ENG,Everton,English Premier League,GK,Goalkeeper,31,1440,64.0,19.0,44.0,21.3,2.3,6,120.0,338.0,539.0,56.0,21337.4,90.0,4908.4,209.0,7.0,34.0,628.0,1
Josep Martinez,ESP,Inter,Italian Serie A,GK,Goalkeeper,27,180,5.0,1.0,4.0,1.4,0.4,1,6.0,21.0,61.0,7.0,1672.4,9.0,433.8,21.0,0.0,4.0,84.8,1
José Sá,POR,Wolves,English Premier League,GK,Goalkeeper,32,360,16.0,11.0,5.0,7.2,-3.8,0,24.0,60.0,108.0,14.0,3999.8,23.0,1225.6,46.0,4.0,4.0,63.8,1
João Virgínia,POR,Sporting CP,UEFA Champions League,GK,Goalkeeper,25,90,4.0,1.0,3.0,0.8,-0.2,0,1.0,6.0,22.0,7.0,695.2,5.0,190.0,7.0,1.0,1.0,16.5,1
Juan Musso,ARG,Atlético Madrid,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,31,180,7.0,1.0,6.0,1.0,0.0,1,4.0,14.0,46.0,9.0,1219.0,16.0,695.2,36.0,2.0,0.0,0.0,1
Julen Agirrezabala,ESP,Valencia,Spanish La Liga,GK,Goalkeeper,24,1440,73.0,25.0,48.0,21.5,-3.5,4,66.0,198.0,424.0,67.0,14083.1,91.0,4312.4,205.0,21.0,34.0,704.8,1
Kacper Tobiasz,POL,Legia Warsaw,UEFA Europa Conference League,GK,Goalkeeper,23,450,16.0,7.0,9.0,3.8,-3.2,0,29.0,82.0,148.0,17.0,5605.5,30.0,1343.8,66.0,1.0,7.0,133.7,1
Kacper Trelowski,POL,Raków,UEFA Europa Conference League,GK,Goalkeeper,22,180,1.0,1.0,0.0,0.1,-0.9,1,10.0,21.0,56.0,4.0,1587.9,11.0,577.6,18.0,1.0,4.0,79.4,1
Kamil Grabara,POL,Wolfsburg,German Bundesliga,GK,Goalkeeper,26,1260,67.0,24.0,42.0,25.2,1.2,1,56.0,216.0,511.0,73.0,16689.5,79.0,4589.5,325.0,15.0,14.0,208.3,1
Karl Darlow,WAL,Leeds United,English Premier League,GK,Goalkeeper,35,450,20.0,8.0,13.0,5.1,-2.9,0,30.0,101.0,181.0,27.0,6848.4,26.0,1486.5,82.0,5.0,4.0,53.9,1
Karl Jakob Hein,EST,Werder Bremen,German Bundesliga,GK,Goalkeeper,23,180,15.0,4.0,11.0,4.7,0.7,1,15.0,36.0,111.0,11.0,3301.8,10.0,587.0,28.0,2.0,6.0,111.3,1
Karl-Johan Johnsson,SWE,Strasbourg,French Ligue 1,GK,Goalkeeper,35,90,2.0,0.0,2.0,0.3,0.3,1,3.0,10.0,32.0,2.0,947.2,2.0,91.0,13.0,1.0,3.0,56.7,1
Karlo Letica,CRO,Lausanne-Sport,UEFA Europa Conference League,GK,Goalkeeper,28,450,10.0,3.0,7.0,4.4,1.4,3,22.0,61.0,97.0,27.0,3463.7,40.0,1839.6,70.0,4.0,1.0,13.8,1
Kasper Schmeichel,DEN,Celtic,UEFA Europa League,GK,Goalkeeper,39,540,32.0,11.0,22.0,9.2,-1.8,0,24.0,76.0,225.0,18.0,6801.6,44.0,1752.0,85.0,2.0,7.0,137.0,1
Kauã Santos,BRA,Eint Frankfurt,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,22,450,33.0,18.0,15.0,14.3,-3.7,0,12.0,70.0,185.0,24.0,6063.0,22.0,886.9,52.0,3.0,5.0,165.8,1
