Player,Team,League,Position,General Position,Nationality,Age,Minutes,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Pass Length (Total),Attempted Goal Kicks,Goal Kick Length (Total),Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Distance of Defensive Actions (Total)
Etrit Berisha,Häcken,UEFA Europa Conference League,GK,Goalkeeper,ALB,36,450,20.0,7.0,14.0,6.3,-0.7,1,21.0,54.0,160.0,23.0,4697.3,17.0,862.4,43.0,4.0,10.0,191.8
Fabiano,AC Omonia,UEFA Europa Conference League,GK,Goalkeeper,CYP,37,90,2.0,1.0,1.0,0.3,-0.7,0,0.0,0.0,12.0,4.0,266.4,4.0,89.2,14.0,0.0,0.0,0.0
Faton Maloku,KF Drita,UEFA Europa Conference League,GK,Goalkeeper,KVX,34,450,21.0,5.0,16.0,5.1,0.1,2,16.0,52.0,116.0,28.0,3742.4,48.0,1577.2,79.0,6.0,3.0,42.9
Federico Ravaglia,Bologna,"Italian Serie A, UEFA Europa League",GK,Goalkeeper,ITA,26,630,28.0,7.0,21.0,9.6,2.6,2,27.0,89.0,308.0,34.0,9545.3,35.0,1410.8,80.0,1.0,13.0,259.5
Filip Jørgensen,Chelsea,"English Premier League, UEFA Champions League",GK,Goalkeeper,DEN,23,173,4.0,3.0,1.0,2.3,-0.7,0,3.0,11.0,42.0,3.0,1037.8,7.0,256.0,23.0,0.0,4.0,73.5
Finn Dahmen,Augsburg,German Bundesliga,GK,Goalkeeper,GER,27,1260,65.0,28.0,37.0,23.5,-4.5,2,90.0,277.0,534.0,48.0,18890.7,99.0,5206.9,180.0,11.0,33.0,601.5
Florian Wiegele,Viktoria Plzeň,UEFA Europa League,GK,Goalkeeper,AUT,24,180,10.0,0.0,10.0,2.4,2.4,2,16.0,36.0,65.0,5.0,2349.8,9.0,518.4,28.0,1.0,2.0,33.0
Francis Uzoho,AC Omonia,UEFA Europa Conference League,GK,Goalkeeper,NGA,27,360,18.0,2.0,15.0,5.4,3.4,2,13.0,49.0,91.0,21.0,3027.7,16.0,804.2,71.0,3.0,1.0,13.7
Franco Israel,Torino,Italian Serie A,GK,Goalkeeper,URU,25,810,41.0,18.0,23.0,12.8,-5.2,3,58.0,168.0,273.0,33.0,10659.9,50.0,2531.3,121.0,7.0,5.0,110.4
Frederik Rønnow,Union Berlin,German Bundesliga,GK,Goalkeeper,DEN,33,1260,63.0,23.0,39.0,22.6,-0.4,3,92.0,296.0,385.0,55.0,15251.3,97.0,5797.1,209.0,19.0,11.0,201.0
Gerónimo Rulli,Marseille,"French Ligue 1, UEFA Champions League",GK,Goalkeeper,ARG,33,1710,89.0,20.0,70.0,22.3,2.3,6,70.0,184.0,647.0,94.0,18456.6,71.0,2712.0,204.0,34.0,53.0,1097.8
Gianluigi Donnarumma,Manchester City,"English Premier League, UEFA Champions League",GK,Goalkeeper,ITA,26,1620,47.0,16.0,30.0,15.6,-0.4,8,44.0,128.0,438.0,64.0,12238.6,48.0,2062.9,214.0,11.0,10.0,149.3
Giorgi Mamardashvili,Liverpool,"English Premier League, UEFA Champions League",GK,Goalkeeper,GEO,25,755,36.0,15.0,20.0,11.0,-4.0,3,29.0,89.0,260.0,40.0,7957.5,36.0,1442.1,79.0,2.0,13.0,316.8
Goran Karaćić,Zrinjski Mostar,UEFA Europa Conference League,GK,Goalkeeper,BIH,29,270,5.0,2.0,3.0,2.1,0.1,1,16.0,47.0,77.0,12.0,2781.1,23.0,1178.6,45.0,2.0,2.0,48.0
Gregor Kobel,Dortmund,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,SUI,28,1800,75.0,25.0,51.0,24.9,-0.1,8,62.0,210.0,607.0,78.0,19630.7,76.0,2694.9,251.0,7.0,22.0,426.9
Grégoire Coudert,Brest,French Ligue 1,GK,Goalkeeper,FRA,26,572,31.0,12.0,20.0,11.8,-0.2,1,39.0,125.0,182.0,28.0,7226.6,41.0,2385.0,103.0,7.0,8.0,127.4
Guglielmo Vicario,Tottenham,"English Premier League, UEFA Champions League",GK,Goalkeeper,ITA,29,1980,95.0,28.0,67.0,30.3,2.3,9,91.0,295.0,794.0,102.0,25685.5,97.0,3804.7,275.0,14.0,41.0,773.0
Guillaume Restes,Toulouse,French Ligue 1,GK,Goalkeeper,FRA,20,1440,48.0,19.0,29.0,17.8,-1.2,6,74.0,192.0,388.0,48.0,13135.1,65.0,2932.5,228.0,16.0,16.0,284.3
Günay Güvenç,Galatasaray,UEFA Champions League,GK,Goalkeeper,TUR,34,23,1.0,1.0,0.0,0.9,-0.1,0,0.0,0.0,9.0,1.0,188.1,3.0,77.1,3.0,0.0,1.0,34.0
Hendrik Bonmann,Ludogorets,UEFA Europa League,GK,Goalkeeper,GER,31,270,21.0,8.0,13.0,8.9,0.9,0,18.0,57.0,126.0,14.0,4196.6,21.0,1055.3,50.0,6.0,2.0,27.6
Hendrik Van Crombrugge,Genk,UEFA Europa League,GK,Goalkeeper,BEL,32,540,26.0,6.0,19.0,8.6,2.6,2,33.0,86.0,206.0,15.0,6748.3,22.0,887.4,89.0,3.0,1.0,15.4
Henry Bonello,Ħamrun Spartans FC,UEFA Europa Conference League,GK,Goalkeeper,MLT,37,450,31.0,8.0,23.0,7.8,-0.2,0,23.0,56.0,140.0,21.0,4751.9,28.0,1081.5,44.0,3.0,6.0,114.1
Hervé Koffi,Angers,French Ligue 1,GK,Goalkeeper,BFA,29,1350,78.0,16.0,60.0,23.0,7.0,5,50.0,171.0,426.0,77.0,13896.3,92.0,3341.7,231.0,28.0,10.0,135.9
Ionuț Radu,Celta Vigo,"Spanish La Liga, UEFA Europa League",GK,Goalkeeper,ROU,28,1800,87.0,25.0,61.0,24.7,-0.3,3,51.0,183.0,418.0,103.0,13067.8,152.0,6145.6,269.0,10.0,12.0,209.7
Ivan Filipović,Dinamo Zagreb,UEFA Europa League,GK,Goalkeeper,CRO,31,180,14.0,7.0,8.0,4.8,-2.2,0,3.0,15.0,74.0,15.0,1800.1,11.0,391.0,21.0,2.0,3.0,45.1
Ivan Nevistić,Dinamo Zagreb,UEFA Europa League,GK,Goalkeeper,CRO,27,360,12.0,6.0,7.0,3.2,-2.8,0,18.0,53.0,178.0,13.0,4745.8,16.0,641.3,47.0,3.0,8.0,150.1
Ivan Provedel,Lazio,Italian Serie A,GK,Goalkeeper,ITA,31,1350,68.0,11.0,57.0,17.7,6.7,8,65.0,196.0,472.0,60.0,16078.4,77.0,3297.2,204.0,13.0,12.0,268.8
Iván Villar,Celta Vigo,UEFA Europa League,GK,Goalkeeper,ESP,28,180,9.0,3.0,6.0,2.6,-0.4,1,2.0,11.0,47.0,10.0,1142.3,7.0,343.0,24.0,0.0,2.0,40.6
Iñaki Peña,Elche,Spanish La Liga,GK,Goalkeeper,ESP,26,900,48.0,14.0,34.0,17.3,3.3,3,34.0,145.0,572.0,43.0,15603.0,38.0,1361.4,144.0,5.0,22.0,419.5
Jack Butland,Rangers,UEFA Europa League,GK,Goalkeeper,ENG,32,540,28.0,11.0,16.0,10.9,-0.1,0,40.0,90.0,180.0,29.0,6606.2,21.0,1090.1,66.0,6.0,10.0,206.3
Jakub Markovič,Slavia Prague,UEFA Champions League,GK,Goalkeeper,CZE,24,180,13.0,3.0,10.0,4.7,1.7,1,19.0,42.0,50.0,3.0,2084.2,16.0,828.1,20.0,1.0,4.0,62.2
James Trafford,Manchester City,"English Premier League, UEFA Champions League",GK,Goalkeeper,ENG,23,360,17.0,6.0,11.0,7.1,1.1,1,10.0,38.0,122.0,13.0,3500.6,15.0,674.7,33.0,2.0,17.0,363.9
Jan Koutny,Sigma Olomouc,UEFA Europa Conference League,GK,Goalkeeper,CZE,21,450,19.0,7.0,13.0,6.1,-0.9,0,20.0,71.0,103.0,13.0,4090.3,33.0,1652.5,56.0,2.0,7.0,117.5
Jan Oblak,Atlético Madrid,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,SVN,32,1890,68.0,27.0,41.0,24.3,-2.7,5,128.0,273.0,547.0,85.0,17886.3,155.0,7544.6,274.0,19.0,21.0,397.1
Jari De Busser,Go Ahead Eag,UEFA Europa League,GK,Goalkeeper,BEL,26,540,44.0,11.0,33.0,13.5,2.5,0,23.0,85.0,221.0,20.0,7130.1,35.0,1903.3,104.0,4.0,3.0,63.5
Jaylan Hankins,Red Imps,UEFA Europa Conference League,GK,Goalkeeper,GIB,25,360,24.0,6.0,18.0,4.4,-1.6,0,28.0,92.0,102.0,15.0,4750.6,40.0,2079.4,80.0,4.0,1.0,12.0
Jean Butez,Como,Italian Serie A,GK,Goalkeeper,FRA,30,1260,51.0,11.0,40.0,13.9,2.9,6,69.0,145.0,520.0,64.0,15265.8,37.0,1560.2,136.0,14.0,36.0,726.2
Jeffrey De Lange,Marseille,French Ligue 1,GK,Goalkeeper,NED,27,270,11.0,3.0,8.0,3.2,0.2,1,4.0,15.0,82.0,7.0,1904.2,7.0,256.0,33.0,0.0,2.0,35.5
Jindřich Staněk,Slavia Prague,UEFA Champions League,GK,Goalkeeper,CZE,29,360,28.0,8.0,20.0,10.4,2.4,1,25.0,69.0,134.0,19.0,4758.4,24.0,1232.4,47.0,4.0,2.0,28.8
Jiří Pavlenka,PAOK,UEFA Europa League,GK,Goalkeeper,CZE,33,360,19.0,7.0,11.0,8.1,1.1,1,10.0,33.0,107.0,12.0,3726.9,13.0,494.9,46.0,1.0,11.0,242.3
Joan García,Barcelona,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,ESP,24,1260,46.0,14.0,33.0,15.7,1.7,5,25.0,66.0,440.0,98.0,11325.7,42.0,1328.3,134.0,11.0,62.0,1404.2
Johannes Kreidl,KuPS,UEFA Europa Conference League,GK,Goalkeeper,AUT,29,450,19.0,3.0,16.0,5.9,2.9,2,43.0,92.0,258.0,19.0,8219.8,27.0,1146.2,83.0,5.0,6.0,118.8
John,Nott'ham Forest,"English Premier League, UEFA Europa League",GK,Goalkeeper,BRA,29,360,7.0,1.0,6.0,2.0,1.0,3,16.0,39.0,94.0,3.0,3078.8,6.0,300.0,31.0,0.0,3.0,61.8
Jonas Urbig,Bayern Munich,German Bundesliga,GK,Goalkeeper,GER,22,180,1.0,0.0,1.0,0.1,0.1,2,10.0,21.0,78.0,8.0,2226.0,4.0,230.0,14.0,1.0,7.0,161.0
Jonathan Fischer,Metz,French Ligue 1,GK,Goalkeeper,DEN,24,1364,87.0,33.0,54.0,32.0,-1.0,3,54.0,142.0,565.0,63.0,15161.5,78.0,3195.8,204.0,6.0,16.0,319.6
Jordan Pickford,Everton,English Premier League,GK,Goalkeeper,ENG,31,1440,64.0,19.0,44.0,21.3,2.3,6,120.0,338.0,539.0,56.0,21337.4,90.0,4908.4,209.0,7.0,34.0,628.0
Josep Martinez,Inter,Italian Serie A,GK,Goalkeeper,ESP,27,180,5.0,1.0,4.0,1.4,0.4,1,6.0,21.0,61.0,7.0,1672.4,9.0,433.8,21.0,0.0,4.0,84.8
José Sá,Wolves,English Premier League,GK,Goalkeeper,POR,32,360,16.0,11.0,5.0,7.2,-3.8,0,24.0,60.0,108.0,14.0,3999.8,23.0,1225.6,46.0,4.0,4.0,63.8
João Virgínia,Sporting CP,UEFA Champions League,GK,Goalkeeper,POR,25,90,4.0,1.0,3.0,0.8,-0.2,0,1.0,6.0,22.0,7.0,695.2,5.0,190.0,7.0,1.0,1.0,16.5
Juan Musso,Atlético Madrid,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,ARG,31,180,7.0,1.0,6.0,1.0,0.0,1,4.0,14.0,46.0,9.0,1219.0,16.0,695.2,36.0,2.0,0.0,0.0
Julen Agirrezabala,Valencia,Spanish La Liga,GK,Goalkeeper,ESP,24,1440,73.0,25.0,48.0,21.5,-3.5,4,66.0,198.0,424.0,67.0,14083.1,91.0,4312.4,205.0,21.0,34.0,704.8
Kacper Tobiasz,Legia Warsaw,UEFA Europa Conference League,GK,Goalkeeper,POL,23,450,16.0,7.0,9.0,3.8,-3.2,0,29.0,82.0,148.0,17.0,5605.5,30.0,1343.8,66.0,1.0,7.0,133.7
Kacper Trelowski,Raków,UEFA Europa Conference League,GK,Goalkeeper,POL,22,180,1.0,1.0,0.0,0.1,-0.9,1,10.0,21.0,56.0,4.0,1587.9,11.0,577.6,18.0,1.0,4.0,79.4
Kamil Grabara,Wolfsburg,German Bundesliga,GK,Goalkeeper,POL,26,1260,67.0,24.0,42.0,25.2,1.2,1,56.0,216.0,511.0,73.0,16689.5,79.0,4589.5,325.0,15.0,14.0,208.3
Karl Darlow,Leeds United,English Premier League,GK,Goalkeeper,WAL,35,450,20.0,8.0,13.0,5.1,-2.9,0,30.0,101.0,181.0,27.0,6848.4,26.0,1486.5,82.0,5.0,4.0,53.9
Karl Jakob Hein,Werder Bremen,German Bundesliga,GK,Goalkeeper,EST,23,180,15.0,4.0,11.0,4.7,0.7,1,15.0,36.0,111.0,11.0,3301.8,10.0,587.0,28.0,2.0,6.0,111.3
Karl-Johan Johnsson,Strasbourg,French Ligue 1,GK,Goalkeeper,SWE,35,90,2.0,0.0,2.0,0.3,0.3,1,3.0,10.0,32.0,2.0,947.2,2.0,91.0,13.0,1.0,3.0,56.7
Karlo Letica,Lausanne-Sport,UEFA Europa Conference League,GK,Goalkeeper,CRO,28,450,10.0,3.0,7.0,4.4,1.4,3,22.0,61.0,97.0,27.0,3463.7,40.0,1839.6,70.0,4.0,1.0,13.8
Kasper Schmeichel,Celtic,UEFA Europa League,GK,Goalkeeper,DEN,39,540,32.0,11.0,22.0,9.2,-1.8,0,24.0,76.0,225.0,18.0,6801.6,44.0,1752.0,85.0,2.0,7.0,137.0
Kauã Santos,Eint Frankfurt,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,BRA,22,450,33.0,18.0,15.0,14.3,-3.7,0,12.0,70.0,185.0,24.0,6063.0,22.0,886.9,52.0,3.0,5.0,165.8
Kevin Trapp,Paris FC,French Ligue 1,GK,Goalkeeper,GER,35,450,19.0,9.0,9.0,10.1,1.1,2,14.0,60.0,192.0,23.0,5724.5,41.0,1371.7,76.0,4.0,6.0,126.0
Kiril Fesiun,Shakhtar,UEFA Europa Conference League,GK,Goalkeeper,UKR,23,270,7.0,3.0,4.0,2.8,-0.2,1,8.0,15.0,128.0,7.0,3059.8,9.0,158.0,32.0,1.0,15.0,383.2
Kjell Scherpen,Union SG,UEFA Champions League,GK,Goalkeeper,NED,25,540,29.0,15.0,14.0,12.4,-2.6,1,18.0,65.0,120.0,15.0,4396.3,38.0,1753.8,97.0,6.0,4.0,51.6
