Team,League,Game Week,Possession,Passing Accuracy,Shots on Target,Saves
Espanyol,Spanish La Liga,J6,56%,401 of 517 — 78%,8 of 21 — 38%,0 of 2 — 0%
Valencia,Spanish La Liga,J6,44%,76% — 307 of 402,40% — 2 of 5,75% — 6 of 8
Athletic Club,Spanish La Liga,J6,66%,557 of 668 — 83%,5 of 17 — 29%,2 of 3 — 66%
Girona,Spanish La Liga,J6,34%,73% — 248 of 338,50% — 3 of 6,80% — 4 of 5
Levante,Spanish La Liga,J6,38%,382 of 439 — 87%,2 of 11 — 18%,6 of 9 — 66%
Real Madrid,Spanish La Liga,J6,62%,90% — 654 of 725,39% — 9 of 23,50% — 1 of 2
Sevilla,Spanish La Liga,J6,65%,557 of 651 — 86%,2 of 16 — 13%,3 of 5 — 60%
Villarreal,Spanish La Liga,J6,35%,79% — 280 of 355,42% — 5 of 12,50% — 1 of 2
Getafe,Spanish La Liga,J6,46%,234 of 344 — 68%,1 of 7 — 14%,3 of 4 — 75%
Alavés,Spanish La Liga,J6,54%,71% — 284 of 402,40% — 4 of 10,0% — 0 of 1
Atlético Madrid,Spanish La Liga,J6,61%,543 of 633 — 86%,8 of 20 — 40%,1 of 3 — 33%
Rayo Vallecano,Spanish La Liga,J6,39%,78% — 322 of 412,33% — 3 of 9,62% — 5 of 8
Parma,Italian Serie A,J15,48%,340 of 425 — 80%,5 of 19 — 26%,3 of 4 — 75%
Lazio,Italian Serie A,J15,52%,83% — 390 of 469,27% — 4 of 15,100% — 5 of 5
Real Sociedad,Spanish La Liga,J6,63%,470 of 598 — 79%,3 of 17 — 18%,3 of 3 — 100%
Mallorca,Spanish La Liga,J6,37%,72% — 249 of 344,43% — 3 of 7,66% — 2 of 3
Osasuna,Spanish La Liga,J6,40%,311 of 410 — 76%,2 of 9 — 22%,3 of 4 — 75%
Elche,Spanish La Liga,J6,60%,84% — 523 of 623,33% — 4 of 12,50% — 1 of 2
Oviedo,Spanish La Liga,J6,22%,147 of 232 — 63%,3 of 7 — 43%,7 of 10 — 70%
Barcelona,Spanish La Liga,J6,78%,90% — 749 of 833,45% — 10 of 22,66% — 2 of 3
Girona,Spanish La Liga,J7,59%,483 of 569 — 85%,3 of 12 — 25%,5 of 5 — 100%
Espanyol,Spanish La Liga,J7,41%,80% — 313 of 390,25% — 5 of 20,100% — 3 of 3
Getafe,Spanish La Liga,J7,53%,245 of 383 — 64%,4 of 11 — 36%,2 of 3 — 66%
Levante,Spanish La Liga,J7,47%,60% — 200 of 334,27% — 3 of 11,75% — 3 of 4
Atlético Madrid,Spanish La Liga,J7,38%,260 of 347 — 75%,6 of 12 — 50%,0 of 2 — 0%
Real Madrid,Spanish La Liga,J7,62%,86% — 493 of 575,33% — 2 of 6,33% — 2 of 6
Mallorca,Spanish La Liga,J7,39%,269 of 362 — 74%,2 of 12 — 17%,3 of 3 — 100%
Alavés,Spanish La Liga,J7,61%,82% — 464 of 564,25% — 3 of 12,50% — 1 of 2
Villarreal,Spanish La Liga,J7,43%,328 of 423 — 78%,5 of 14 — 36%,4 of 4 — 100%
Athletic Club,Spanish La Liga,J7,57%,83% — 469 of 568,25% — 4 of 16,80% — 4 of 5
Rayo Vallecano,Spanish La Liga,J7,63%,436 of 549 — 79%,6 of 18 — 33%,0 of 1 — 0%
Sevilla,Spanish La Liga,J7,37%,67% — 214 of 319,25% — 1 of 4,100% — 6 of 6
Elche,Spanish La Liga,J7,61%,541 of 614 — 88%,7 of 16 — 44%,1 of 2 — 50%
Celta Vigo,Spanish La Liga,J7,39%,82% — 322 of 394,25% — 2 of 8,71% — 5 of 7
Atalanta,Italian Serie A,J15,58%,487 of 577 — 84%,8 of 17 — 47%,0 of 1 — 0%
Cagliari,Italian Serie A,J15,42%,79% — 334 of 422,13% — 1 of 8,75% — 6 of 8
Barcelona,Spanish La Liga,J7,74%,717 of 798 — 90%,9 of 22 — 41%,1 of 2 — 50%
Real Sociedad,Spanish La Liga,J7,26%,75% — 211 of 282,29% — 2 of 7,77% — 7 of 9
Betis,Spanish La Liga,J7,50%,449 of 550 — 82%,6 of 12 — 50%,1 of 1 — 100%
Osasuna,Spanish La Liga,J7,50%,82% — 444 of 542,8% — 1 of 12,66% — 4 of 6
Valencia,Spanish La Liga,J7,56%,491 of 575 — 85%,4 of 15 — 27%,2 of 4 — 50%
Oviedo,Spanish La Liga,J7,44%,81% — 359 of 445,40% — 4 of 10,75% — 3 of 4
Osasuna,Spanish La Liga,J8,57%,354 of 496 — 71%,3 of 7 — 43%,1 of 2 — 50%
Getafe,Spanish La Liga,J8,43%,68% — 254 of 373,33% — 2 of 6,33% — 1 of 3
Oviedo,Spanish La Liga,J8,57%,449 of 543 — 83%,2 of 13 — 15%,3 of 5 — 60%
Levante,Spanish La Liga,J8,43%,79% — 321 of 407,36% — 5 of 14,100% — 2 of 2
Girona,Spanish La Liga,J8,46%,333 of 420 — 79%,4 of 4 — 100%,5 of 6 — 83%
Valencia,Spanish La Liga,J8,54%,81% — 408 of 502,32% — 6 of 19,50% — 2 of 4
Athletic Club,Spanish La Liga,J8,52%,403 of 493 — 82%,4 of 17 — 24%,1 of 2 — 50%
Mallorca,Spanish La Liga,J8,48%,80% — 370 of 463,33% — 2 of 6,75% — 3 of 4
Real Madrid,Spanish La Liga,J8,69%,683 of 749 — 91%,6 of 25 — 24%,1 of 2 — 50%
Villarreal,Spanish La Liga,J8,31%,80% — 269 of 336,22% — 2 of 9,66% — 4 of 6
Alavés,Spanish La Liga,J8,47%,351 of 445 — 79%,4 of 24 — 17%,2 of 3 — 66%
Elche,Spanish La Liga,J8,53%,85% — 421 of 496,50% — 3 of 6,50% — 2 of 4
Sevilla,Spanish La Liga,J8,40%,226 of 308 — 73%,4 of 12 — 33%,7 of 8 — 87%
Barcelona,Spanish La Liga,J8,60%,84% — 388 of 463,50% — 8 of 16,25% — 1 of 4
Milan,Italian Serie A,J15,59%,504 of 595 — 85%,4 of 13 — 31%,1 of 3 — 33%
Sassuolo,Italian Serie A,J15,41%,83% — 343 of 414,38% — 3 of 8,50% — 2 of 4
Real Sociedad,Spanish La Liga,J8,51%,357 of 459 — 78%,3 of 10 — 30%,1 of 2 — 50%
Rayo Vallecano,Spanish La Liga,J8,49%,78% — 350 of 449,29% — 2 of 7,100% — 3 of 3
Espanyol,Spanish La Liga,J8,51%,401 of 510 — 79%,4 of 13 — 31%,1 of 3 — 33%
Betis,Spanish La Liga,J8,49%,81% — 404 of 498,25% — 3 of 12,75% — 3 of 4
Celta Vigo,Spanish La Liga,J8,60%,690 of 775 — 89%,4 of 18 — 22%,1 of 1 — 100%
Atlético Madrid,Spanish La Liga,J8,40%,86% — 448 of 522,17% — 1 of 6,75% — 3 of 4
Oviedo,Spanish La Liga,J9,60%,496 of 574 — 86%,4 of 13 — 31%,8 of 10 — 80%
Espanyol,Spanish La Liga,J9,40%,77% — 294 of 382,53% — 10 of 19,100% — 4 of 4
Sevilla,Spanish La Liga,J9,58%,368 of 461 — 80%,4 of 13 — 31%,3 of 6 — 50%
Mallorca,Spanish La Liga,J9,42%,72% — 244 of 337,86% — 6 of 7,75% — 3 of 4
Barcelona,Spanish La Liga,J9,67%,630 of 710 — 89%,9 of 27 — 33%,3 of 4 — 75%
Girona,Spanish La Liga,J9,33%,81% — 277 of 344,36% — 4 of 11,77% — 7 of 9
Villarreal,Spanish La Liga,J9,40%,318 of 408 — 78%,3 of 7 — 43%,1 of 3 — 33%
Betis,Spanish La Liga,J9,60%,85% — 517 of 610,19% — 3 of 16,33% — 1 of 3
Atlético Madrid,Spanish La Liga,J9,58%,485 of 571 — 85%,9 of 18 — 50%,2 of 2 — 100%
Osasuna,Spanish La Liga,J9,42%,78% — 319 of 408,22% — 2 of 9,88% — 8 of 9
Elche,Spanish La Liga,J9,68%,548 of 647 — 85%,5 of 15 — 33%,1 of 1 — 100%
Athletic Club,Spanish La Liga,J9,32%,72% — 216 of 302,25% — 1 of 4,100% — 5 of 5
Celta Vigo,Spanish La Liga,J9,42%,319 of 416 — 77%,1 of 4 — 25%,6 of 7 — 85%
Real Sociedad,Spanish La Liga,J9,58%,83% — 473 of 572,41% — 7 of 17,0% — 0 of 1
Udinese,Italian Serie A,J15,38%,253 of 342 — 74%,5 of 18 — 28%,0 of 0 — %
Napoli,Italian Serie A,J15,62%,81% — 449 of 555,0% — 0 of 7,80% — 4 of 5
Levante,Spanish La Liga,J9,54%,365 of 476 — 77%,5 of 17 — 29%,1 of 4 — 25%
Rayo Vallecano,Spanish La Liga,J9,46%,80% — 322 of 401,40% — 4 of 10,100% — 5 of 5
Getafe,Spanish La Liga,J9,25%,119 of 219 — 54%,1 of 7 — 14%,9 of 10 — 90%
Real Madrid,Spanish La Liga,J9,75%,86% — 577 of 672,43% — 10 of 23,100% — 1 of 1
Alavés,Spanish La Liga,J9,63%,461 of 563 — 82%,3 of 13 — 23%,2 of 2 — 100%
Valencia,Spanish La Liga,J9,37%,69% — 229 of 332,40% — 2 of 5,100% — 3 of 3
Real Sociedad,Spanish La Liga,J10,40%,227 of 340 — 67%,2 of 4 — 50%,0 of 1 — 0%
Sevilla,Spanish La Liga,J10,60%,75% — 385 of 513,17% — 1 of 6,50% — 1 of 2
Girona,Spanish La Liga,J10,65%,510 of 597 — 85%,4 of 6 — 67%,2 of 4 — 50%
Oviedo,Spanish La Liga,J10,35%,76% — 248 of 325,44% — 4 of 9,75% — 3 of 4
Espanyol,Spanish La Liga,J10,32%,225 of 306 — 74%,7 of 16 — 44%,4 of 4 — 100%
Elche,Spanish La Liga,J10,68%,85% — 546 of 644,31% — 4 of 13,85% — 6 of 7
Athletic Club,Spanish La Liga,J10,56%,371 of 490 — 76%,4 of 7 — 57%,2 of 3 — 66%
Getafe,Spanish La Liga,J10,44%,59% — 227 of 383,38% — 3 of 8,100% — 4 of 4
Valencia,Spanish La Liga,J10,57%,488 of 584 — 84%,3 of 15 — 20%,3 of 4 — 75%
Villarreal,Spanish La Liga,J10,43%,85% — 376 of 444,36% — 4 of 11,100% — 3 of 3
Mallorca,Spanish La Liga,J10,63%,506 of 609 — 83%,4 of 20 — 20%,4 of 5 — 80%
Levante,Spanish La Liga,J10,37%,69% — 252 of 364,38% — 5 of 13,75% — 3 of 4
Real Madrid,Spanish La Liga,J10,32%,250 of 316 — 79%,9 of 22 — 41%,4 of 5 — 80%
Barcelona,Spanish La Liga,J10,68%,89% — 599 of 675,33% — 5 of 15,77% — 7 of 9
Fiorentina,Italian Serie A,J15,65%,432 of 535 — 81%,4 of 20 — 20%,1 of 3 — 33%
Hellas Verona,Italian Serie A,J15,35%,69% — 198 of 287,23% — 3 of 13,100% — 4 of 4
Osasuna,Spanish La Liga,J10,61%,500 of 609 — 82%,6 of 15 — 40%,2 of 5 — 40%
Celta Vigo,Spanish La Liga,J10,39%,80% — 312 of 390,45% — 5 of 11,83% — 5 of 6
Rayo Vallecano,Spanish La Liga,J10,54%,368 of 465 — 79%,5 of 15 — 33%,2 of 2 — 100%
Alavés,Spanish La Liga,J10,46%,72% — 291 of 404,17% — 2 of 12,80% — 4 of 5
Betis,Spanish La Liga,J10,57%,503 of 602 — 84%,5 of 17 — 29%,2 of 4 — 50%
Atlético Madrid,Spanish La Liga,J10,43%,80% — 360 of 452,44% — 4 of 9,100% — 5 of 5
Getafe,Spanish La Liga,J11,43%,198 of 318 — 62%,4 of 12 — 33%,3 of 3 — 100%
Girona,Spanish La Liga,J11,57%,75% — 319 of 426,43% — 3 of 7,50% — 2 of 4
Villarreal,Spanish La Liga,J11,48%,389 of 450 — 86%,7 of 16 — 44%,3 of 3 — 100%
Rayo Vallecano,Spanish La Liga,J11,52%,84% — 410 of 488,23% — 3 of 13,42% — 3 of 7
Atlético Madrid,Spanish La Liga,J11,48%,417 of 509 — 82%,5 of 14 — 36%,2 of 2 — 100%
Sevilla,Spanish La Liga,J11,52%,85% — 475 of 562,20% — 2 of 10,60% — 3 of 5
Real Sociedad,Spanish La Liga,J11,51%,302 of 417 — 72%,5 of 9 — 56%,2 of 4 — 50%
Athletic Club,Spanish La Liga,J11,49%,75% — 301 of 399,36% — 4 of 11,40% — 2 of 5
Real Madrid,Spanish La Liga,J11,65%,669 of 752 — 89%,9 of 19 — 47%,1 of 1 — 100%
Valencia,Spanish La Liga,J11,35%,82% — 338 of 413,25% — 1 of 4,66% — 6 of 9
Levante,Spanish La Liga,J11,36%,276 of 365 — 76%,3 of 8 — 38%,4 of 6 — 66%
Celta Vigo,Spanish La Liga,J11,64%,87% — 564 of 645,30% — 6 of 20,66% — 2 of 3
Alavés,Spanish La Liga,J11,54%,410 of 498 — 82%,4 of 13 — 31%,1 of 2 — 50%
Espanyol,Spanish La Liga,J11,46%,76% — 325 of 429,11% — 2 of 18,50% — 2 of 4
Genoa,Italian Serie A,J15,36%,239 of 327 — 73%,3 of 5 — 60%,6 of 8 — 75%
Inter,Italian Serie A,J15,64%,83% — 474 of 569,44% — 8 of 18,66% — 2 of 3
Barcelona,Spanish La Liga,J11,49%,368 of 456 — 81%,5 of 17 — 29%,2 of 3 — 66%
Elche,Spanish La Liga,J11,51%,82% — 384 of 468,33% — 3 of 9,40% — 2 of 5
Betis,Spanish La Liga,J11,52%,500 of 579 — 86%,8 of 15 — 53%,1 of 1 — 100%
Mallorca,Spanish La Liga,J11,48%,83% — 445 of 535,7% — 1 of 14,62% — 5 of 8
Oviedo,Spanish La Liga,J11,52%,361 of 447 — 81%,2 of 8 — 25%,5 of 5 — 100%
Osasuna,Spanish La Liga,J11,48%,83% — 338 of 409,45% — 5 of 11,100% — 2 of 2
Elche,Spanish La Liga,J12,62%,530 of 617 — 86%,3 of 12 — 25%,4 of 4 — 100%
Real Sociedad,Spanish La Liga,J12,38%,74% — 276 of 372,33% — 4 of 12,66% — 2 of 3
Girona,Spanish La Liga,J12,52%,464 of 546 — 85%,2 of 10 — 20%,5 of 5 — 100%
Alavés,Spanish La Liga,J12,48%,82% — 422 of 514,36% — 5 of 14,50% — 1 of 2
Sevilla,Spanish La Liga,J12,48%,277 of 367 — 75%,3 of 9 — 33%,3 of 3 — 100%
Osasuna,Spanish La Liga,J12,52%,77% — 301 of 391,33% — 3 of 9,100% — 3 of 3
Atlético Madrid,Spanish La Liga,J12,74%,599 of 700 — 86%,10 of 25 — 40%,2 of 3 — 66%
Levante,Spanish La Liga,J12,26%,70% — 174 of 249,50% — 3 of 6,80% — 8 of 10
Espanyol,Spanish La Liga,J12,55%,527 of 632 — 83%,3 of 14 — 21%,1 of 3 — 33%
Villarreal,Spanish La Liga,J12,45%,85% — 439 of 517,33% — 3 of 9,100% — 3 of 3
Athletic Club,Spanish La Liga,J12,48%,384 of 468 — 82%,7 of 21 — 33%,2 of 2 — 100%
Oviedo,Spanish La Liga,J12,52%,80% — 414 of 517,50% — 2 of 4,85% — 6 of 7
Rayo Vallecano,Spanish La Liga,J12,46%,336 of 418 — 80%,2 of 13 — 15%,5 of 5 — 100%
Real Madrid,Spanish La Liga,J12,54%,83% — 414 of 498,24% — 5 of 21,100% — 2 of 2
Bologna,Italian Serie A,J15,50%,399 of 494 — 81%,4 of 11 — 36%,2 of 3 — 66%
Juventus,Italian Serie A,J15,50%,81% — 393 of 485,23% — 3 of 13,100% — 4 of 4
Valencia,Spanish La Liga,J12,43%,372 of 456 — 82%,4 of 17 — 24%,1 of 2 — 50%
Betis,Spanish La Liga,J12,57%,86% — 511 of 596,22% — 2 of 9,75% — 3 of 4
Mallorca,Spanish La Liga,J12,39%,196 of 311 — 63%,3 of 6 — 50%,2 of 2 — 100%
Getafe,Spanish La Liga,J12,61%,71% — 343 of 481,14% — 2 of 14,66% — 2 of 3
Celta Vigo,Spanish La Liga,J12,39%,405 of 489 — 83%,3 of 5 — 60%,5 of 8 — 62%
Barcelona,Spanish La Liga,J12,61%,90% — 677 of 756,40% — 8 of 20,33% — 1 of 3
Valencia,Spanish La Liga,J13,59%,485 of 584 — 83%,3 of 14 — 21%,0 of 0 — %
Levante,Spanish La Liga,J13,41%,77% — 309 of 399,0% — 0 of 7,66% — 2 of 3
Alavés,Spanish La Liga,J13,52%,456 of 562 — 81%,2 of 5 — 40%,3 of 3 — 100%
Celta Vigo,Spanish La Liga,J13,48%,81% — 425 of 524,50% — 3 of 6,100% — 2 of 2
Barcelona,Spanish La Liga,J13,67%,635 of 726 — 87%,7 of 19 — 37%,2 of 2 — 100%
Athletic Club,Spanish La Liga,J13,33%,78% — 274 of 351,15% — 2 of 13,42% — 3 of 7
Osasuna,Spanish La Liga,J13,47%,344 of 447 — 77%,4 of 14 — 29%,6 of 9 — 66%
Real Sociedad,Spanish La Liga,J13,53%,82% — 413 of 502,47% — 9 of 19,75% — 3 of 4
Villarreal,Spanish La Liga,J13,58%,458 of 557 — 82%,7 of 14 — 50%,2 of 3 — 66%
Mallorca,Spanish La Liga,J13,42%,75% — 302 of 403,33% — 3 of 9,71% — 5 of 7
Oviedo,Spanish La Liga,J13,39%,283 of 365 — 78%,2 of 8 — 25%,3 of 3 — 100%
Rayo Vallecano,Spanish La Liga,J13,61%,86% — 485 of 561,27% — 3 of 11,100% — 2 of 2
Betis,Spanish La Liga,J13,54%,484 of 585 — 83%,7 of 23 — 30%,3 of 4 — 75%
Girona,Spanish La Liga,J13,46%,84% — 416 of 496,36% — 4 of 11,85% — 6 of 7
Napoli,Italian Serie A,J2,68%,587 of 684 — 86%,6 of 20 — 30%,1 of 1 — 100%
Cagliari,Italian Serie A,J2,32%,81% — 266 of 327,10% — 1 of 10,83% — 5 of 6
Getafe,Spanish La Liga,J13,41%,238 of 357 — 67%,1 of 9 — 11%,6 of 6 — 100%
Atlético Madrid,Spanish La Liga,J13,59%,77% — 391 of 505,46% — 6 of 13,100% — 1 of 1
Elche,Spanish La Liga,J13,49%,432 of 512 — 84%,6 of 15 — 40%,5 of 7 — 71%
Real Madrid,Spanish La Liga,J13,51%,86% — 463 of 538,35% — 7 of 20,66% — 4 of 6
Espanyol,Spanish La Liga,J13,35%,196 of 286 — 69%,5 of 8 — 63%,5 of 6 — 83%
Sevilla,Spanish La Liga,J13,65%,81% — 441 of 542,27% — 6 of 22,60% — 3 of 5
Getafe,Spanish La Liga,J14,35%,205 of 310 — 66%,5 of 15 — 33%,4 of 4 — 100%
Elche,Spanish La Liga,J14,65%,84% — 479 of 573,44% — 4 of 9,80% — 4 of 5
Mallorca,Spanish La Liga,J14,52%,343 of 457 — 75%,3 of 6 — 50%,0 of 2 — 0%
Osasuna,Spanish La Liga,J14,48%,71% — 297 of 418,14% — 2 of 14,66% — 2 of 3
Barcelona,Spanish La Liga,J14,68%,644 of 727 — 89%,6 of 18 — 33%,1 of 2 — 50%
Alavés,Spanish La Liga,J14,32%,72% — 245 of 339,22% — 2 of 9,50% — 3 of 6
Levante,Spanish La Liga,J14,56%,347 of 464 — 75%,4 of 11 — 36%,1 of 3 — 33%
Athletic Club,Spanish La Liga,J14,44%,70% — 255 of 366,21% — 3 of 14,100% — 4 of 4
Atlético Madrid,Spanish La Liga,J14,53%,510 of 587 — 87%,8 of 14 — 57%,1 of 1 — 100%
Oviedo,Spanish La Liga,J14,47%,87% — 456 of 527,8% — 1 of 12,75% — 6 of 8
Real Sociedad,Spanish La Liga,J14,60%,486 of 586 — 83%,7 of 18 — 39%,1 of 4 — 25%
Villarreal,Spanish La Liga,J14,40%,76% — 295 of 389,40% — 4 of 10,71% — 5 of 7
Sevilla,Spanish La Liga,J14,64%,343 of 461 — 74%,2 of 9 — 22%,2 of 4 — 50%
Betis,Spanish La Liga,J14,36%,63% — 162 of 259,44% — 4 of 9,100% — 2 of 2
Celta Vigo,Spanish La Liga,J14,60%,505 of 596 — 85%,4 of 11 — 36%,1 of 2 — 50%
Espanyol,Spanish La Liga,J14,40%,77% — 311 of 402,22% — 2 of 9,100% — 4 of 4
Girona,Spanish La Liga,J14,41%,379 of 451 — 84%,4 of 10 — 40%,3 of 3 — 100%
Real Madrid,Spanish La Liga,J14,59%,87% — 571 of 655,13% — 3 of 24,75% — 3 of 4
Rayo Vallecano,Spanish La Liga,J14,55%,408 of 503 — 81%,6 of 19 — 32%,0 of 1 — 0%
Valencia,Spanish La Liga,J14,45%,76% — 310 of 407,10% — 1 of 10,83% — 5 of 6
Barcelona,Spanish La Liga,J19,57%,505 of 596 — 85%,6 of 18 — 33%,1 of 2 — 50%
Atlético Madrid,Spanish La Liga,J19,43%,75% — 331 of 442,29% — 2 of 7,50% — 3 of 6
Athletic Club,Spanish La Liga,J19,39%,323 of 423 — 76%,4 of 9 — 44%,5 of 8 — 62%
Real Madrid,Spanish La Liga,J19,61%,87% — 586 of 672,62% — 8 of 13,100% — 4 of 4
Oviedo,Spanish La Liga,J15,61%,445 of 528 — 84%,3 of 15 — 20%,5 of 5 — 100%
Mallorca,Spanish La Liga,J15,39%,75% — 251 of 335,38% — 5 of 13,100% — 3 of 3
Villarreal,Spanish La Liga,J15,62%,437 of 551 — 79%,5 of 10 — 50%,0 of 0 — %
Getafe,Spanish La Liga,J15,38%,67% — 226 of 335,0% — 0 of 6,60% — 3 of 5
Alavés,Spanish La Liga,J15,38%,276 of 364 — 76%,2 of 13 — 15%,1 of 1 — 100%
Real Sociedad,Spanish La Liga,J15,62%,83% — 488 of 588,10% — 1 of 10,100% — 2 of 2
Betis,Spanish La Liga,J15,39%,294 of 389 — 76%,4 of 16 — 25%,3 of 7 — 42%
Barcelona,Spanish La Liga,J15,61%,88% — 530 of 604,47% — 7 of 15,50% — 2 of 4
Athletic Club,Spanish La Liga,J15,44%,313 of 432 — 72%,3 of 14 — 21%,3 of 3 — 100%
Atlético Madrid,Spanish La Liga,J15,56%,78% — 426 of 548,43% — 3 of 7,66% — 2 of 3
Elche,Spanish La Liga,J15,57%,513 of 578 — 89%,6 of 11 — 55%,4 of 4 — 100%
Girona,Spanish La Liga,J15,43%,84% — 365 of 437,50% — 4 of 8,50% — 3 of 6
Valencia,Spanish La Liga,J15,49%,347 of 457 — 76%,3 of 11 — 27%,1 of 1 — 100%
Sevilla,Spanish La Liga,J15,51%,76% — 364 of 479,25% — 1 of 4,66% — 2 of 3
Espanyol,Spanish La Liga,J15,37%,197 of 282 — 70%,1 of 8 — 13%,2 of 2 — 100%
Rayo Vallecano,Spanish La Liga,J15,63%,81% — 388 of 477,33% — 2 of 6,100% — 1 of 1
Real Madrid,Spanish La Liga,J15,57%,554 of 629 — 88%,7 of 23 — 30%,3 of 5 — 60%
Celta Vigo,Spanish La Liga,J15,43%,86% — 400 of 465,71% — 5 of 7,100% — 7 of 7
Osasuna,Spanish La Liga,J15,41%,291 of 405 — 72%,6 of 14 — 43%,4 of 4 — 100%
Levante,Spanish La Liga,J15,59%,82% — 475 of 582,36% — 4 of 11,66% — 4 of 6
Real Sociedad,Spanish La Liga,J16,47%,442 of 528 — 84%,4 of 9 — 44%,1 of 3 — 33%
Girona,Spanish La Liga,J16,53%,87% — 515 of 593,21% — 3 of 14,75% — 3 of 4
Atlético Madrid,Spanish La Liga,J16,46%,393 of 486 — 81%,6 of 10 — 60%,1 of 2 — 50%
Valencia,Spanish La Liga,J16,54%,82% — 466 of 565,15% — 2 of 13,66% — 4 of 6
Mallorca,Spanish La Liga,J16,43%,361 of 427 — 85%,8 of 15 — 53%,0 of 0 — %
Elche,Spanish La Liga,J16,57%,89% — 494 of 558,0% — 0 of 9,62% — 5 of 8
Barcelona,Spanish La Liga,J16,79%,695 of 787 — 88%,7 of 24 — 29%,2 of 2 — 100%
Osasuna,Spanish La Liga,J16,21%,58% — 122 of 210,67% — 2 of 3,71% — 5 of 7
Getafe,Spanish La Liga,J16,55%,306 of 439 — 70%,1 of 11 — 9%,3 of 4 — 75%
Espanyol,Spanish La Liga,J16,45%,62% — 219 of 354,67% — 4 of 6,100% — 1 of 1
Sevilla,Spanish La Liga,J16,56%,378 of 467 — 81%,7 of 13 — 54%,1 of 1 — 100%
Oviedo,Spanish La Liga,J16,44%,76% — 282 of 372,25% — 1 of 4,42% — 3 of 7
Celta Vigo,Spanish La Liga,J16,50%,441 of 541 — 82%,2 of 5 — 40%,1 of 1 — 100%
Athletic Club,Spanish La Liga,J16,50%,83% — 453 of 544,8% — 1 of 13,0% — 0 of 2
Alavés,Spanish La Liga,J16,53%,452 of 544 — 83%,2 of 6 — 33%,4 of 6 — 66%
Real Madrid,Spanish La Liga,J16,47%,84% — 412 of 488,46% — 6 of 13,50% — 1 of 2
Pisa,Italian Serie A,J2,32%,197 of 299 — 66%,3 of 7 — 43%,4 of 5 — 80%
Roma,Italian Serie A,J2,68%,81% — 521 of 640,50% — 5 of 10,100% — 3 of 3
Genoa,Italian Serie A,J2,44%,283 of 391 — 72%,1 of 10 — 10%,2 of 3 — 66%
Juventus,Italian Serie A,J2,56%,78% — 391 of 499,23% — 3 of 13,100% — 1 of 1
PSV Eindhoven,UEFA Champions League,J1,62%,470 of 588 — 80%,3 of 10 — 30%,4 of 6 — 66%
Union SG,UEFA Champions League,J1,38%,70% — 251 of 358,35% — 6 of 17,66% — 2 of 3
Athletic Club,UEFA Champions League,J1,39%,246 of 338 — 73%,2 of 11 — 18%,4 of 6 — 66%
Arsenal,UEFA Champions League,J1,61%,82% — 435 of 532,55% — 6 of 11,100% — 2 of 2
Tottenham,UEFA Champions League,J1,58%,436 of 529 — 82%,1 of 9 — 11%,0 of 0 — %
Villarreal,UEFA Champions League,J1,42%,78% — 295 of 380,0% — 0 of 10,100% — 1 of 1
Benfica,UEFA Champions League,J1,53%,431 of 517 — 83%,3 of 14 — 21%,2 of 5 — 40%
Qarabağ,UEFA Champions League,J1,47%,81% — 372 of 462,50% — 5 of 10,33% — 1 of 3
Juventus,UEFA Champions League,J1,52%,459 of 532 — 86%,7 of 19 — 37%,1 of 4 — 25%
Dortmund,UEFA Champions League,J1,48%,82% — 410 of 501,44% — 4 of 9,42% — 3 of 7
Real Madrid,UEFA Champions League,J1,44%,364 of 431 — 84%,13 of 26 — 50%,4 of 5 — 80%
Marseille,UEFA Champions League,J1,56%,86% — 478 of 559,33% — 5 of 15,100% — 13 of 13
Slavia Prague,UEFA Champions League,J1,47%,283 of 385 — 74%,10 of 26 — 38%,6 of 8 — 75%
Bodø/Glimt,UEFA Champions League,J1,53%,77% — 330 of 429,80% — 8 of 10,80% — 8 of 10
Olympiacos,UEFA Champions League,J1,70%,484 of 613 — 79%,3 of 18 — 17%,1 of 1 — 100%
Pafos FC,UEFA Champions League,J1,30%,69% — 184 of 268,17% — 1 of 6,100% — 3 of 3
Liverpool,UEFA Champions League,J1,56%,561 of 643 — 87%,6 of 20 — 30%,2 of 4 — 50%
Atlético Madrid,UEFA Champions League,J1,44%,81% — 408 of 503,40% — 4 of 10,50% — 3 of 6
Ajax,UEFA Champions League,J1,56%,478 of 565 — 85%,2 of 7 — 29%,2 of 4 — 50%
Inter,UEFA Champions League,J1,44%,81% — 363 of 449,29% — 4 of 14,100% — 2 of 2
Bayern Munich,UEFA Champions League,J1,56%,522 of 592 — 88%,4 of 15 — 27%,2 of 3 — 66%
Chelsea,UEFA Champions League,J1,44%,87% — 406 of 469,33% — 3 of 9,75% — 3 of 4
Paris S-G,UEFA Champions League,J1,67%,671 of 738 — 91%,12 of 21 — 57%,2 of 2 — 100%
Atalanta,UEFA Champions League,J1,33%,81% — 300 of 370,29% — 2 of 7,66% — 8 of 12
Club Brugge,UEFA Champions League,J1,49%,405 of 488 — 83%,10 of 26 — 38%,3 of 4 — 75%
Monaco,UEFA Champions League,J1,51%,85% — 439 of 516,33% — 4 of 12,60% — 6 of 10
FC Copenhagen,UEFA Champions League,J1,37%,307 of 398 — 77%,7 of 12 — 58%,3 of 4 — 75%
Leverkusen,UEFA Champions League,J1,63%,87% — 597 of 684,27% — 4 of 15,71% — 5 of 7
