Player,Nationality,Team,League,Position,General Position,Age,Minutes,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Pass Length (Total),Attempted Goal Kicks,Goal Kick Length (Total),Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Distance of Defensive Actions (Total),Matches
Anatolii Trubin,UKR,Benfica,UEFA Champions League,GK,Goalkeeper,24,270,18.0,7.0,12.0,7.7,0.7,0,4.0,27,68.0,11.0,2105.2,17.0,460.2,36,3.0,1.0,16.3,1
Anthony Lopes,POR,Nantes,French Ligue 1,GK,Goalkeeper,35,720,41.0,9.0,32.0,9.9,0.9,2,39.0,98,311.0,38.0,9796.3,33.0,1009.0,144,6.0,12.0,228.6,1
Anton Ari Einarsson,ISL,Breiðablik,UEFA Europa Conference League,GK,Goalkeeper,31,90,8.0,3.0,5.0,2.6,-0.4,0,2.0,4,50.0,12.0,1355.0,0.0,0.0,8,1.0,0.0,0.0,1
Antonio Sivera,ESP,Alavés,Spanish La Liga,GK,Goalkeeper,29,810,28.0,8.0,20.0,8.3,0.3,2,70.0,154,163.0,20.0,7221.7,62.0,3803.3,109,4.0,3.0,46.1,1
Arijanet Muric,KVX,Sassuolo,Italian Serie A,GK,Goalkeeper,26,540,31.0,6.0,26.0,9.2,3.2,3,43.0,106,194.0,33.0,6721.4,43.0,2144.5,87,11.0,1.0,18.0,1
Arnau Tenas,ESP,Villarreal,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,24,360,16.0,8.0,8.0,4.8,-3.2,0,14.0,69,94.0,7.0,3470.4,34.0,2002.7,66,3.0,5.0,78.4,1
Arnaud Bodart,BEL,Lille,French Ligue 1,GK,Goalkeeper,27,90,2.0,1.0,1.0,1.6,0.6,0,8.0,14,28.0,2.0,974.4,5.0,185.0,9,0.0,1.0,13.5,1
Augusto Batalla,ARG,Rayo Vallecano,"Spanish La Liga, UEFA Europa Conference League",GK,Goalkeeper,29,900,38.0,10.0,28.0,11.6,1.6,3,59.0,162,323.0,42.0,12606.3,44.0,2121.4,120,11.0,23.0,459.5,1
Baboucarr Gaye,GAM,Shkëndija 79,UEFA Europa Conference League,GK,Goalkeeper,27,90,10.0,2.0,8.0,1.7,-0.3,0,2.0,7,17.0,3.0,603.5,5.0,184.0,23,0.0,0.0,0.0,1
Bart Verbruggen,NED,Brighton,English Premier League,GK,Goalkeeper,23,720,25.0,11.0,16.0,9.9,-1.1,0,21.0,102,282.0,36.0,9283.7,21.0,1088.0,103,3.0,7.0,123.4,1
Bartosz Mrozek,POL,Lech Poznań,UEFA Europa Conference League,GK,Goalkeeper,25,90,2.0,1.0,1.0,0.7,-0.3,0,4.0,10,34.0,6.0,999.6,3.0,122.1,17,0.0,0.0,0.0,1
Berke Özer,TUR,Lille,"French Ligue 1, UEFA Europa League",GK,Goalkeeper,25,810,33.0,10.0,21.0,14.5,4.5,3,43.0,119,321.0,24.0,10188.0,40.0,1590.3,108,3.0,9.0,153.3,1
Bernd Leno,GER,Fulham,English Premier League,GK,Goalkeeper,33,720,34.0,12.0,23.0,10.3,-1.7,1,29.0,99,274.0,42.0,8257.3,42.0,1963.9,102,8.0,9.0,154.7,1
Bingourou Kamara,SEN,Lorient,French Ligue 1,GK,Goalkeeper,28,270,15.0,8.0,7.0,4.8,-3.2,1,12.0,22,65.0,7.0,1948.9,9.0,279.3,27,2.0,5.0,111.0,1
Brice Samba,FRA,Rennes,French Ligue 1,GK,Goalkeeper,31,720,33.0,12.0,20.0,13.8,1.8,2,31.0,103,312.0,38.0,10073.8,42.0,1388.8,120,7.0,10.0,266.0,1
Caoimhín Kelleher,IRL,Brentford,English Premier League,GK,Goalkeeper,26,720,30.0,12.0,18.0,9.1,-2.9,2,55.0,131,250.0,43.0,8491.6,39.0,2361.4,105,8.0,5.0,73.2,1
Daniel Heuer Fernandes,POR,Hamburger SV,German Bundesliga,GK,Goalkeeper,32,630,39.0,10.0,28.0,10.3,0.3,3,35.0,101,293.0,22.0,8704.4,39.0,1628.1,103,3.0,5.0,81.9,1
David Raya,ESP,Arsenal,"English Premier League, UEFA Champions League",GK,Goalkeeper,30,990,24.0,3.0,21.0,4.1,1.1,8,54.0,156,368.0,56.0,12432.9,40.0,2050.3,111,10.0,24.0,575.0,1
David Soria,ESP,Getafe,Spanish La Liga,GK,Goalkeeper,32,810,38.0,12.0,27.0,9.6,-2.4,2,71.0,217,186.0,11.0,9582.5,71.0,4346.8,103,4.0,7.0,147.3,1
David de Gea,ESP,Fiorentina,"Italian Serie A, UEFA Europa Conference League",GK,Goalkeeper,34,720,36.0,10.0,26.0,10.3,0.3,3,40.0,102,228.0,30.0,7755.6,27.0,1242.5,94,4.0,7.0,126.7,1
Dean Henderson,ENG,Crystal Palace,"English Premier League, UEFA Europa Conference League",GK,Goalkeeper,28,810,27.0,8.0,19.0,11.0,3.0,4,49.0,159,251.0,31.0,9701.6,73.0,3411.5,151,9.0,3.0,41.3,1
Diant Ramaj,GER,Heidenheim,German Bundesliga,GK,Goalkeeper,24,630,39.0,13.0,26.0,13.6,0.6,0,59.0,162,332.0,31.0,12722.8,59.0,2991.2,97,9.0,9.0,123.6,1
Dimitar Mitov,BUL,Aberdeen,UEFA Europa Conference League,GK,Goalkeeper,28,90,4.0,3.0,1.0,1.4,-1.6,0,5.0,19,29.0,6.0,1020.8,9.0,462.6,10,0.0,2.0,34.0,1
Diogo Costa,POR,Porto,UEFA Europa League,GK,Goalkeeper,26,180,5.0,1.0,4.0,0.5,-0.5,1,8.0,21,63.0,12.0,1838.7,12.0,426.3,19,2.0,7.0,128.1,1
Dmytro Riznyk,UKR,Shakhtar,UEFA Europa Conference League,GK,Goalkeeper,26,90,5.0,2.0,3.0,2.0,0.0,0,2.0,7,31.0,3.0,849.4,3.0,50.1,12,1.0,2.0,48.0,1
Dominik Greif,SVK,Lyon,"French Ligue 1, UEFA Europa League",GK,Goalkeeper,28,540,20.0,5.0,15.0,5.3,0.3,4,22.0,46,210.0,20.0,5332.9,18.0,667.9,67,6.0,14.0,273.5,1
Dominik Kotarski,CRO,FC Copenhagen,UEFA Champions League,GK,Goalkeeper,25,270,15.0,8.0,8.0,4.8,-3.2,0,15.0,43,66.0,7.0,2647.8,14.0,680.9,32,0.0,3.0,36.6,1
Dominik Takáč,SVK,Slovan Bratislava,UEFA Europa Conference League,GK,Goalkeeper,26,90,4.0,2.0,3.0,1.2,-0.8,0,3.0,9,31.0,1.0,992.0,3.0,71.1,2,0.0,4.0,82.0,1
Donovan Léon,GUF,Auxerre,French Ligue 1,GK,Goalkeeper,32,494,26.0,8.0,18.0,8.7,0.7,2,32.0,120,159.0,15.0,6944.5,32.0,2077.1,55,2.0,10.0,203.2,1
Dénes Dibusz,HUN,Ferencváros,UEFA Europa League,GK,Goalkeeper,34,180,6.0,1.0,5.0,1.0,0.0,1,22.0,37,56.0,11.0,2094.2,16.0,786.1,44,1.0,2.0,30.4,1
Ed McGinty,IRL,Shamrock Rov,UEFA Europa Conference League,GK,Goalkeeper,26,90,8.0,4.0,4.0,4.1,0.1,0,5.0,20,23.0,4.0,929.2,7.0,359.8,17,0.0,0.0,0.0,1
Ederson,BRA,Fenerbahçe,UEFA Europa League,GK,Goalkeeper,32,180,6.0,4.0,2.0,2.9,-1.1,0,8.0,22,57.0,5.0,1776.4,17.0,690.9,24,0.0,8.0,212.0,1
Elia Caprile,ITA,Cagliari,Italian Serie A,GK,Goalkeeper,24,630,33.0,8.0,25.0,9.6,1.6,1,42.0,111,195.0,36.0,7371.6,51.0,1993.2,113,17.0,9.0,172.2,1
Elías Rafn Ólafsson,ISL,Midtjylland,UEFA Europa League,GK,Goalkeeper,25,180,13.0,2.0,11.0,2.6,0.6,1,6.0,30,67.0,21.0,2305.5,15.0,789.0,42,3.0,1.0,12.7,1
Emil Audero,IDN,Cremonese,Italian Serie A,GK,Goalkeeper,28,360,23.0,3.0,20.0,5.0,2.0,2,18.0,72,151.0,26.0,5367.3,21.0,997.1,66,8.0,0.0,0.0,1
Emiliano Martínez,ARG,Aston Villa,English Premier League,GK,Goalkeeper,33,540,16.0,5.0,11.0,4.1,-0.9,1,23.0,65,212.0,24.0,6324.8,18.0,938.0,84,5.0,8.0,144.8,1
Etrit Berisha,ALB,Häcken,UEFA Europa Conference League,GK,Goalkeeper,36,90,1.0,0.0,1.0,0.0,0.0,1,1.0,4,38.0,7.0,832.2,1.0,24.0,8,0.0,3.0,73.5,1
Faton Maloku,KVX,KF Drita,UEFA Europa Conference League,GK,Goalkeeper,34,90,3.0,1.0,2.0,1.0,0.0,0,1.0,5,22.0,7.0,572.0,6.0,178.2,9,2.0,0.0,0.0,1
Federico Ravaglia,ITA,Bologna,Italian Serie A,GK,Goalkeeper,25,90,3.0,0.0,3.0,0.2,0.2,1,7.0,18,50.0,5.0,1700.0,4.0,191.2,11,0.0,5.0,110.0,1
Filip Jørgensen,DEN,Chelsea,"English Premier League, UEFA Champions League",GK,Goalkeeper,23,173,4.0,3.0,1.0,2.3,-0.7,0,3.0,11,42.0,3.0,1037.8,7.0,256.0,23,0.0,4.0,73.5,1
Finn Dahmen,GER,Augsburg,German Bundesliga,GK,Goalkeeper,27,630,36.0,14.0,21.0,14.7,0.7,0,38.0,121,243.0,23.0,8394.5,51.0,2583.6,92,7.0,19.0,336.7,1
Francis Uzoho,NGA,AC Omonia,UEFA Europa Conference League,GK,Goalkeeper,26,90,2.0,1.0,1.0,0.9,-0.1,0,3.0,11,25.0,7.0,845.0,5.0,239.0,16,1.0,1.0,13.7,1
Franco Israel,URU,Torino,Italian Serie A,GK,Goalkeeper,25,630,33.0,13.0,20.0,9.6,-3.4,3,47.0,136,227.0,25.0,8884.8,33.0,1760.4,93,5.0,5.0,110.4,1
Frederik Rønnow,DEN,Union Berlin,German Bundesliga,GK,Goalkeeper,33,630,41.0,14.0,27.0,15.3,1.3,1,48.0,148,184.0,24.0,7499.6,48.0,2882.9,112,12.0,3.0,40.6,1
Gerónimo Rulli,ARG,Marseille,"French Ligue 1, UEFA Champions League",GK,Goalkeeper,33,810,44.0,9.0,36.0,10.9,1.9,3,41.0,113,322.0,43.0,10088.9,31.0,1502.6,103,18.0,19.0,399.3,1
Gianluigi Donnarumma,ITA,Manchester City,"English Premier League, UEFA Champions League",GK,Goalkeeper,26,720,15.0,4.0,11.0,4.5,0.5,5,17.0,56,198.0,28.0,5318.7,21.0,931.0,87,8.0,2.0,27.8,1
Giorgi Mamardashvili,GEO,Liverpool,"English Premier League, UEFA Champions League",GK,Goalkeeper,25,305,11.0,5.0,6.0,3.0,-2.0,1,14.0,32,118.0,20.0,3471.2,12.0,333.1,31,2.0,9.0,230.1,1
Goran Karaćić,BIH,Zrinjski Mostar,UEFA Europa Conference League,GK,Goalkeeper,29,90,0.0,0.0,0.0,0.0,0.0,1,1.0,3,30.0,8.0,837.0,3.0,69.0,9,0.0,0.0,0.0,1
Gregor Kobel,SUI,Dortmund,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,27,900,37.0,13.0,25.0,12.5,-0.5,4,31.0,96,289.0,41.0,9176.5,43.0,1415.7,124,3.0,10.0,177.2,1
Grégoire Coudert,FRA,Brest,French Ligue 1,GK,Goalkeeper,26,212,15.0,6.0,9.0,6.0,0.0,0,20.0,51,66.0,12.0,2765.4,17.0,1040.1,43,3.0,1.0,12.0,1
Guglielmo Vicario,ITA,Tottenham,"English Premier League, UEFA Champions League",GK,Goalkeeper,29,990,43.0,9.0,34.0,12.0,3.0,5,45.0,121,410.0,48.0,12180.1,62.0,2008.2,118,5.0,20.0,387.3,1
Guillaume Restes,FRA,Toulouse,French Ligue 1,GK,Goalkeeper,20,720,25.0,12.0,13.0,10.3,-1.7,3,40.0,98,174.0,20.0,6405.1,33.0,1494.8,101,8.0,7.0,104.2,1
Hendrik Van Crombrugge,BEL,Genk,UEFA Europa League,GK,Goalkeeper,32,180,6.0,1.0,4.0,2.0,1.0,1,10.0,19,58.0,3.0,1813.8,6.0,189.0,30,1.0,1.0,15.4,1
Henry Bonello,MLT,Ħamrun Spartans FC,UEFA Europa Conference League,GK,Goalkeeper,36,90,7.0,1.0,6.0,2.0,1.0,0,3.0,19,33.0,5.0,1227.6,10.0,450.0,19,2.0,0.0,0.0,1
Hervé Koffi,BFA,Angers,French Ligue 1,GK,Goalkeeper,29,720,47.0,12.0,34.0,16.3,4.3,1,30.0,92,203.0,41.0,7075.3,49.0,1638.7,120,13.0,5.0,65.4,1
Ionuț Radu,ROU,Celta Vigo,"Spanish La Liga, UEFA Europa League",GK,Goalkeeper,28,990,48.0,14.0,34.0,12.5,-1.5,0,31.0,100,256.0,65.0,8000.1,80.0,2816.3,135,7.0,8.0,130.8,1
Ivan Nevistić,CRO,Dinamo Zagreb,UEFA Europa League,GK,Goalkeeper,27,180,6.0,2.0,4.0,1.5,-0.5,0,14.0,37,113.0,5.0,3117.3,13.0,586.3,32,2.0,5.0,92.7,1
Ivan Provedel,ITA,Lazio,Italian Serie A,GK,Goalkeeper,31,630,38.0,7.0,31.0,11.6,4.6,3,25.0,85,199.0,27.0,6995.2,35.0,1397.8,91,7.0,2.0,38.4,1
Iñaki Peña,ESP,Elche,Spanish La Liga,GK,Goalkeeper,26,360,12.0,4.0,8.0,3.7,-0.3,2,17.0,73,245.0,14.0,6962.4,15.0,606.8,64,3.0,7.0,110.9,1
Jack Butland,ENG,Rangers,UEFA Europa League,GK,Goalkeeper,32,180,12.0,3.0,8.0,3.0,0.0,0,11.0,24,52.0,13.0,1664.8,9.0,356.1,19,2.0,3.0,42.3,1
Jakub Markovič,CZE,Slavia Prague,UEFA Champions League,GK,Goalkeeper,24,90,5.0,0.0,5.0,2.2,2.2,1,12.0,26,24.0,2.0,1104.0,9.0,573.3,8,1.0,2.0,32.2,1
James Trafford,ENG,Manchester City,English Premier League,GK,Goalkeeper,22,270,15.0,4.0,11.0,5.9,1.9,1,10.0,36,103.0,11.0,3046.5,15.0,674.7,26,2.0,14.0,280.5,1
Jan Koutny,CZE,Sigma Olomouc,UEFA Europa Conference League,GK,Goalkeeper,20,90,4.0,2.0,2.0,2.8,0.8,0,5.0,17,31.0,3.0,1156.3,6.0,313.2,14,0.0,0.0,0.0,1
Jan Oblak,SVN,Atlético Madrid,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,32,1080,40.0,18.0,22.0,14.6,-3.4,2,63.0,141,299.0,42.0,9841.9,77.0,3541.0,149,6.0,10.0,188.3,1
Jari De Busser,BEL,Go Ahead Eag,UEFA Europa League,GK,Goalkeeper,25,180,15.0,2.0,13.0,3.2,1.2,0,6.0,15,56.0,9.0,1562.8,12.0,587.4,35,1.0,1.0,18.5,1
Jean Butez,FRA,Como,Italian Serie A,GK,Goalkeeper,30,630,16.0,5.0,11.0,4.7,-0.3,2,45.0,88,260.0,25.0,7866.8,24.0,1078.1,80,8.0,15.0,283.5,1
Jeffrey De Lange,NED,Marseille,French Ligue 1,GK,Goalkeeper,27,180,4.0,2.0,2.0,1.6,-0.4,1,0.0,1,30.0,0.0,500.2,2.0,33.0,11,0.0,2.0,35.5,1
Jindřich Staněk,CZE,Slavia Prague,UEFA Champions League,GK,Goalkeeper,29,180,14.0,5.0,8.0,5.7,0.7,0,13.0,29,65.0,8.0,2111.9,13.0,592.9,22,0.0,1.0,14.8,1
Jiří Pavlenka,CZE,PAOK,UEFA Europa League,GK,Goalkeeper,33,180,12.0,3.0,9.0,4.3,1.3,1,6.0,18,60.0,5.0,2058.2,10.0,387.9,19,1.0,6.0,111.5,1
Joan García,ESP,Barcelona,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,24,630,24.0,5.0,19.0,7.9,2.9,3,13.0,26,202.0,56.0,5356.8,17.0,534.5,68,6.0,28.0,633.3,1
Johannes Kreidl,AUT,KuPS,UEFA Europa Conference League,GK,Goalkeeper,29,90,4.0,1.0,3.0,1.2,0.2,0,8.0,14,57.0,3.0,1499.1,8.0,294.4,15,1.0,1.0,13.4,1
Jonathan Fischer,DEN,Metz,French Ligue 1,GK,Goalkeeper,23,720,48.0,20.0,29.0,19.6,-0.4,1,23.0,58,323.0,33.0,8193.0,24.0,822.6,108,4.0,10.0,175.1,1
Jordan Pickford,ENG,Everton,English Premier League,GK,Goalkeeper,31,720,31.0,9.0,21.0,9.4,0.4,2,73.0,190,291.0,27.0,12028.0,45.0,2544.3,96,4.0,19.0,376.2,1
Josep Martinez,ESP,Inter,Italian Serie A,GK,Goalkeeper,27,180,5.0,1.0,4.0,1.4,0.4,1,6.0,21,61.0,7.0,1672.4,9.0,433.8,21,0.0,4.0,84.8,1
José Sá,POR,Wolves,English Premier League,GK,Goalkeeper,32,360,16.0,11.0,5.0,7.2,-3.8,0,24.0,60,108.0,14.0,3999.8,23.0,1225.6,46,4.0,4.0,63.8,1
João Virgínia,POR,Sporting CP,UEFA Champions League,GK,Goalkeeper,25,90,4.0,1.0,3.0,0.8,-0.2,0,1.0,6,22.0,7.0,695.2,5.0,190.0,7,1.0,1.0,16.5,1
Julen Agirrezabala,ESP,Valencia,Spanish La Liga,GK,Goalkeeper,24,810,42.0,14.0,28.0,10.9,-3.1,3,35.0,120,254.0,40.0,8321.9,61.0,2950.7,130,11.0,17.0,360.9,1
Kacper Tobiasz,POL,Legia Warsaw,UEFA Europa Conference League,GK,Goalkeeper,22,90,1.0,1.0,0.0,0.5,-0.5,0,0.0,5,23.0,1.0,538.2,5.0,162.0,3,0.0,0.0,0.0,1
Kacper Trelowski,POL,Raków,UEFA Europa Conference League,GK,Goalkeeper,22,90,0.0,0.0,0.0,0.0,0.0,1,3.0,6,29.0,1.0,748.2,2.0,88.0,2,0.0,2.0,39.4,1
Kamil Grabara,POL,Wolfsburg,German Bundesliga,GK,Goalkeeper,26,630,35.0,13.0,22.0,13.0,0.0,0,25.0,81,249.0,44.0,7671.5,29.0,1440.7,140,6.0,6.0,86.2,1
Karl Darlow,WAL,Leeds United,English Premier League,GK,Goalkeeper,35,450,20.0,8.0,13.0,5.1,-2.9,0,30.0,101,181.0,27.0,6848.4,26.0,1486.5,82,5.0,4.0,53.9,1
Karl Jakob Hein,EST,Werder Bremen,German Bundesliga,GK,Goalkeeper,23,180,15.0,4.0,11.0,4.7,0.7,1,15.0,36,111.0,11.0,3301.8,10.0,587.0,28,2.0,6.0,111.3,1
Karl-Johan Johnsson,SWE,Strasbourg,French Ligue 1,GK,Goalkeeper,35,90,2.0,0.0,2.0,0.3,0.3,1,3.0,10,32.0,2.0,947.2,2.0,91.0,13,1.0,3.0,56.7,1
Karlo Letica,CRO,Lausanne-Sport,UEFA Europa Conference League,GK,Goalkeeper,28,90,2.0,0.0,2.0,0.7,0.7,1,2.0,7,19.0,4.0,609.9,9.0,210.6,11,0.0,0.0,0.0,1
Kasper Schmeichel,DEN,Celtic,UEFA Europa League,GK,Goalkeeper,38,180,10.0,3.0,7.0,2.6,-0.4,0,4.0,12,81.0,8.0,1948.2,13.0,492.6,31,1.0,5.0,101.5,1
Kauã Santos,BRA,Eint Frankfurt,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,22,450,33.0,18.0,15.0,14.3,-3.7,0,12.0,70,185.0,24.0,6063.0,22.0,886.9,52,3.0,5.0,165.8,1
Kevin Trapp,GER,Paris FC,French Ligue 1,GK,Goalkeeper,35,90,2.0,2.0,0.0,1.5,-0.5,0,1.0,8,28.0,4.0,904.4,7.0,160.3,13,1.0,3.0,66.0,1
Kjell Scherpen,NED,Union SG,UEFA Champions League,GK,Goalkeeper,25,270,16.0,9.0,7.0,7.0,-2.0,0,9.0,32,55.0,9.0,2066.5,23.0,1101.5,52,3.0,2.0,22.8,1
Kostas Tzolakis,GRE,Olympiacos,UEFA Champions League,GK,Goalkeeper,22,180,11.0,8.0,3.0,5.8,-2.2,0,9.0,45,47.0,8.0,2416.5,11.0,680.2,20,4.0,2.0,28.6,1
Krapyvtsov Vladyslav,UKR,Girona,Spanish La Liga,GK,Goalkeeper,20,136,9.0,6.0,3.0,3.4,-2.6,0,6.0,20,36.0,8.0,1096.0,11.0,600.2,22,0.0,0.0,0.0,1
Lasse Rieß,GER,Mainz 05,German Bundesliga,GK,Goalkeeper,24,202,17.0,8.0,9.0,5.8,-2.2,1,8.0,26,58.0,6.0,2091.9,13.0,393.3,11,0.0,4.0,74.6,1
Leo Román,ESP,Mallorca,Spanish La Liga,GK,Goalkeeper,25,810,42.0,14.0,27.0,14.9,0.9,1,54.0,152,247.0,27.0,9643.5,56.0,2670.9,134,7.0,5.0,59.3,1
Lorenzo Montipò,ITA,Hellas Verona,Italian Serie A,GK,Goalkeeper,29,630,24.0,9.0,14.0,8.6,-0.4,2,43.0,127,155.0,27.0,6331.7,50.0,3049.2,84,5.0,5.0,100.2,1
Lucas Chevalier,FRA,Paris S-G,"French Ligue 1, UEFA Champions League",GK,Goalkeeper,23,990,29.0,11.0,17.0,9.6,-1.4,5,16.0,39,283.0,35.0,6943.6,32.0,1160.5,73,2.0,5.0,100.5,1
Lucas Perri,BRA,Leeds United,English Premier League,GK,Goalkeeper,27,270,8.0,5.0,3.0,3.2,-1.8,2,18.0,71,91.0,11.0,3838.2,22.0,1355.0,35,2.0,0.0,0.0,1
Luiz Lúcio Reis Júnior,BRA,Villarreal,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,24,720,25.0,7.0,18.0,8.6,1.6,3,10.0,49,150.0,34.0,4487.8,33.0,902.6,73,7.0,15.0,258.9,1
Lukáš Horníček,CZE,Braga,UEFA Europa League,GK,Goalkeeper,23,180,4.0,0.0,4.0,0.9,0.9,2,8.0,29,71.0,8.0,2593.0,8.0,232.0,33,2.0,3.0,53.0,1
Lukáš Hrádecký,FIN,Monaco,French Ligue 1,GK,Goalkeeper,35,258,8.0,4.0,4.0,3.2,-0.8,0,10.0,34,92.0,7.0,2818.4,13.0,468.3,42,2.0,4.0,105.4,1
Mads Hermansen,DEN,West Ham,English Premier League,GK,Goalkeeper,25,360,20.0,11.0,9.0,9.2,-1.8,1,19.0,72,141.0,19.0,4778.9,16.0,981.1,72,5.0,1.0,10.4,1
Maduka Okoye,NGA,Udinese,Italian Serie A,GK,Goalkeeper,26,90,3.0,1.0,2.0,0.9,-0.1,0,10.0,16,23.0,2.0,775.1,7.0,412.3,11,1.0,2.0,28.4,1
Manuel Neuer,GER,Bayern Munich,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,39,900,21.0,6.0,15.0,5.6,-0.4,5,42.0,100,392.0,44.0,11477.5,37.0,1179.0,91,2.0,39.0,959.0,1
Marco Bizot,NED,Aston Villa,"English Premier League, UEFA Europa League",GK,Goalkeeper,34,360,22.0,3.0,19.0,5.3,2.3,3,20.0,57,143.0,16.0,4620.7,21.0,1013.8,71,4.0,12.0,245.8,1
Marco Carnesecchi,ITA,Atalanta,"Italian Serie A, UEFA Champions League",GK,Goalkeeper,25,900,47.0,10.0,36.0,12.6,2.6,3,61.0,153,319.0,48.0,10416.5,59.0,3354.3,119,5.0,19.0,353.4,1
Marco Silvestri,ITA,Cremonese,Italian Serie A,GK,Goalkeeper,34,270,16.0,6.0,10.0,5.8,-0.2,0,16.0,46,81.0,15.0,2868.7,35.0,1388.9,47,1.0,3.0,51.4,1
Mark Flekken,NED,Leverkusen,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,32,900,47.0,21.0,26.0,16.5,-4.5,1,35.0,111,290.0,33.0,8832.7,55.0,2751.6,121,5.0,10.0,169.6,1
Marko Dmitrović,SRB,Espanyol,Spanish La Liga,GK,Goalkeeper,33,810,41.0,11.0,30.0,10.9,-0.1,3,45.0,144,231.0,38.0,9188.1,50.0,2387.9,134,7.0,11.0,198.7,1
Martin Dúbravka,SVK,Burnley,English Premier League,GK,Goalkeeper,36,720,44.0,15.0,32.0,12.8,-2.2,2,50.0,175,183.0,35.0,6665.3,96.0,6175.6,174,8.0,3.0,35.8,1
Martin Jedlička,CZE,Viktoria Plzeň,UEFA Europa League,GK,Goalkeeper,27,180,3.0,1.0,2.0,1.9,0.9,1,9.0,21,42.0,10.0,1391.4,8.0,450.1,24,1.0,0.0,0.0,1
Martin Zlomislić,BIH,Rijeka,UEFA Europa Conference League,GK,Goalkeeper,27,90,3.0,1.0,2.0,0.2,-0.8,0,6.0,22,45.0,8.0,1638.0,5.0,299.0,9,2.0,1.0,11.0,1
Marvin Keller,SUI,Young Boys,UEFA Europa League,GK,Goalkeeper,23,180,9.0,4.0,5.0,1.8,-2.2,1,7.0,23,64.0,10.0,1984.0,23.0,810.0,31,0.0,5.0,102.2,1
Marvin Schwäbe,GER,Köln,German Bundesliga,GK,Goalkeeper,30,630,31.0,10.0,21.0,11.6,1.6,2,59.0,160,262.0,18.0,9708.2,64.0,3641.9,130,2.0,6.0,104.9,1
Marwin Hitz,SUI,Basel,UEFA Europa League,GK,Goalkeeper,38,90,7.0,0.0,6.0,1.8,1.8,1,7.0,26,37.0,4.0,1520.7,6.0,357.0,25,3.0,0.0,0.0,1
