Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Offensive Index,Passing Index,Possession Index,Defensive Index
Alan Rodríguez,URU,Midfielder,Internacional,25,6000,25,22,1862,71,66,81,49
Alan Ruschel,BRA,Defender,Juventude,36,1989,17,12,1041,39,58,61,32
Alan Saldivia,URU,Defender,Colo-Colo,23,2002,6,6,540,38,64,49,69
Alan Sosa,ARG,Forward,Gimnasia–LP,22,2003,17,9,871,35,42,60,70
Alan Soñora,USA,Midfielder,Cerro Porteño,27,1998,4,0,38,33,27,61,47
Alan Torres,MEX,Forward,Mazatlán,25,2000,4,0,98,27,51,85,65
Alan Varela,ARG,Midfielder,Porto,24,2001,8,8,639,45,59,44,31
Alan Velasco,ARG,Forward,Boca Juniors,23,2002,22,13,1057,47,61,59,59
Alassane Pléa,FRA,Forward,PSV Eindhoven,32,1993,2,2,111,29,81,53,75
Albert Rusnák,SVK,Forward,Seattle Sounders,31,1994,29,23,2148,74,93,51,32
Alberto Espínola,PAR,Defender,Olimpia,34,1991,1,1,90,55,44,60,32
Alberto Herrera,MEX,Defender,Mazatlán,24,2001,3,3,270,79,15,45,30
Alberto Ocejo,MEX,Forward,Santos,27,1998,13,5,526,68,25,83,61
Alberto costa,POR,Defender,Porto,22,2003,6,5,442,39,72,71,47
Aldahir Perez,MEX,Forward,Querétaro,21,2004,5,1,122,27,49,55,45
Aldair Gutiérrez,COL,Defender,CA Bucaramanga,27,1998,6,6,482,40,81,50,54
Aldair Quintana,COL,Goalkeeper,CA Bucaramanga,31,1994,6,6,540,49,43,44,39
Aldair Zárate,COL,Midfielder,CA Bucaramanga,26,1999,2,1,89,48,25,34,57
Aldo Corzo,PER,Defender,Universitario,36,1989,6,5,450,37,38,40,68
Aldo Cruz,MEX,Forward,Atlético,28,1997,10,2,293,26,38,28,64
Aldo López,MEX,Midfielder,Santos,25,2000,13,11,973,76,46,37,41
Aldo Rocha,MEX,Midfielder,Atlas,32,1992,10,9,751,35,43,45,30
Alec Smir,USA,Goalkeeper,Minnesota Utd,26,1999,2,1,161,49,45,44,39
Alec Van Hoorenbeeck,BEL,Defender,Heracles Almelo,26,1998,5,5,450,38,48,34,48
Alejandro Alvarado Jr.,USA,Midfielder,San Diego FC,22,2003,12,6,488,47,58,54,66
Alejandro Andrade,MEX,Midfielder,Necaxa,24,2001,5,1,97,51,31,18,52
Alejandro Bedoya,USA,Midfielder,Philadelphia Union,38,1987,24,9,749,72,81,62,72
Alejandro Cabeza,ECU,Forward,LDU de Quito,28,1997,2,0,26,25,13,17,70
Alejandro Gómez,MEX,Midfielder,Tijuana,23,2002,15,12,1097,36,39,21,53
Alejandro Maciel,ARG,Defender,Olimpia,28,1997,1,1,90,35,15,12,73
Alejandro Marqués,VEN,Forward,Estoril,25,2000,7,2,212,38,30,25,52
Alejandro Martínez,ARG,Forward,Ceará,28,1997,2,0,49,45,49,15,34
Alejandro Mayorga,MEX,Defender,FC Juárez,28,1997,14,14,1260,48,84,59,56
Alejandro Molina,ARG,Defender,San Martín de San Juan,28,1997,19,13,1128,49,53,61,61
Alejandro Organista,MEX,Midfielder,Puebla,25,2000,15,13,1088,44,65,19,54
Alejandro Piedrahita,COL,Forward,Gimnasia–LP,23,2002,14,9,785,35,62,73,67
Alejandro Pósito,PER,Defender,Sporting Cristal,20,2005,1,0,45,35,15,57,10
Alejandro Villareal,COL,Forward,Aldosivi,0,0,2,0,7,25,13,36,16
Alejandro Zendejas,USA,Forward,América,27,1998,13,10,952,74,91,19,38
Alejo Montero,ARG,Defender,Newell's OB,27,1998,25,23,2078,39,63,74,66
Alejo Navarro,ARG,Midfielder,Newell's OB,19,2006,1,0,5,33,13,9,13
Alejo Osella,ARG,Defender,Ind. Rivadavia,25,2000,16,8,736,37,34,62,49
Alejo Tabares,ARG,Midfielder,Newell's OB,24,2001,14,9,894,44,34,53,60
Alejo Véliz,ARG,Forward,Rosario Central,22,2003,13,13,1085,73,23,27,37
Alek Álvarez,MEX,Forward,Toluca,22,2003,2,0,65,25,13,26,72
Aleksandar Stanković,SRB,Midfielder,Club Brugge,20,2005,11,9,870,47,62,42,54
Aleksei Miranchuk,RUS,Forward,Atlanta Utd,30,1995,33,31,2747,58,85,58,46
Alessandro Arena,ITA,Midfielder,Carrarese,25,2000,2,0,51,39,80,96,16
Alessandro Bellemo,ITA,Midfielder,Sampdoria,30,1995,6,4,382,42,40,45,75
Alessandro Capelli,ITA,Midfielder,Padova,28,1997,8,8,671,47,76,75,58
Alessandro Confente,ITA,Goalkeeper,Juve Stabia,27,1998,9,9,810,49,51,54,43
Alessandro Debenedetti,ITA,Forward,Virtus Entella,22,2003,9,5,473,52,33,26,41
Alessandro Dellavalle,ITA,Defender,Modena,21,2004,4,2,323,47,46,36,62
Alessandro Fontanarosa,ITA,Defender,Avellino,22,2003,8,6,611,37,40,64,54
Alessandro Gabrielloni,ITA,Forward,Juve Stabia,31,1994,4,3,214,77,78,33,51
Alessandro Mallamo,ITA,Forward,Südtirol,26,1999,6,5,367,41,72,31,73
Alessandro Milani,VEN,Defender,Avellino,20,2005,7,2,299,50,43,55,28
Alessandro Pietrelli,ITA,Defender,Venezia,22,2003,3,0,54,40,70,92,21
Alessandro Riccio,ITA,Defender,Sampdoria,23,2002,9,9,758,38,36,35,46
Alessandro Sersanti,ITA,Midfielder,Modena,23,2002,9,3,326,84,60,34,57
Alessandro Tripaldelli,ITA,Defender,Reggiana,26,1999,2,0,29,35,15,54,10
Alessandro Vinciguerra,ITA,Midfielder,Pescara,20,2005,1,0,48,33,13,18,13
Alessio Cacciamani,ITA,Forward,Juve Stabia,18,2007,6,3,310,58,44,78,60
Alessio Castellini,ITA,Defender,Mantova,22,2003,7,7,618,52,58,46,31
Alessio Castro-Montes,BEL,Defender,Union SG,28,1997,5,2,144,38,63,57,36
Alesson,BRA,Forward,Mirassol,26,1999,18,10,987,66,74,72,61
Alex Arce,PAR,Forward,Ind. Rivadavia,30,3990,14,13,1063,73,37,40,56
Alex Cochrane,ENG,Defender,Birmingham City,25,2000,10,9,778,48,74,60,36
Alex Ferrari,ITA,Defender,Sampdoria,31,1994,3,3,262,47,17,34,65
Alex Franco,PAR,Midfielder,Olimpia,24,2001,4,3,212,52,53,48,61
Alex Freeman,USA,Defender,Orlando City,21,2004,29,26,2453,85,84,88,51
Alex Harris,USA,Forward,Colorado Rapids,20,2005,4,0,44,25,17,55,27
Alex Luna,ARG,Forward,Instituto,21,2004,28,28,2388,67,63,68,57
Alex Matos,ENG,Midfielder,Sheffield Utd,21,2004,5,3,270,37,45,44,57
Alex McCarthy,ENG,Goalkeeper,Southampton,35,1989,6,6,540,49,52,55,48
Alex Mighten,ENG,Forward,San Diego FC,23,2002,26,11,1049,52,40,85,46
Alex Mowatt,ENG,Midfielder,West Brom,30,1995,12,11,923,44,79,47,49
Alex Muralha,BRA,Goalkeeper,Mirassol,35,1989,7,7,630,49,49,44,45
Alex Muyl,USA,Forward,Nashville SC,30,1995,32,28,2230,47,42,48,58
Alex Palmer,ENG,Goalkeeper,Ipswich Town,29,1996,10,10,833,49,52,68,69
Alex Plat,NED,Midfielder,Volendam,27,1998,5,3,195,36,47,53,68
Alex Roldan,SLV,Midfielder,Seattle Sounders,29,1996,29,24,2116,48,76,65,66
Alex Sandro,BRA,Defender,Flamengo,34,3982,25,23,1915,44,75,83,38
Alex Santana,BRA,Midfielder,Corinthians,30,3990,11,5,495,34,40,46,47
Alex Teixeira,BRA,Forward,Vasco da Gama,35,1990,9,0,118,42,15,52,44
Alex Telles,BRA,Defender,Botafogo (RJ),32,3984,28,24,1923,77,86,72,42
Alex Vigo,ARG,Forward,Sarmiento,26,1999,22,16,1564,32,63,54,75
Alex Williams,WAL,Forward,West Brom,20,2005,1,0,3,25,32,52,75
Alexander Alvarado,ECU,Forward,LDU de Quito,26,1999,6,4,375,57,68,62,49
Alexander Aravena,CHI,Forward,Grêmio,23,2002,18,3,510,71,55,45,48
Alexander Barboza,ARG,Defender,Botafogo (RJ),30,3990,24,24,2147,45,48,53,74
Alexander Domínguez,ECU,Goalkeeper,LDU de Quito,38,1987,1,1,90,49,41,44,37
Alexander Díaz,ARG,Forward,Deportivo Riestra,25,2000,25,12,1205,51,58,50,64
Alexander Hack,GER,Defender,NY Red Bulls,32,1993,22,16,1451,73,69,67,73
Alexander Machado,URU,Forward,Peñarol,23,2002,3,0,70,82,35,68,32
Alexandre Alemão,BRA,Forward,Pachuca,27,1998,3,1,108,46,43,74,30
Alexandre Penetra,POR,Defender,AZ Alkmaar,24,2001,10,10,900,68,46,42,37
Alexandre Pinto,POR,Defender,Arouca,27,1998,3,3,237,39,34,63,46
Alexandre Sola,AND,Midfielder,Estrela,21,2003,2,0,8,33,15,9,19
Alexandro Bernabei,ARG,Defender,Internacional,25,4000,30,29,2548,74,85,84,59
Alexandro Calut,BEL,Defender,Standard Liège,22,2003,6,4,342,37,46,43,44
Alexandros Katranis,GRE,Defender,Real Salt Lake,27,1998,29,23,1835,74,85,77,25
Alexandru Băluță,ROU,Forward,LAFC,32,1993,1,0,15,48,13,74,16
Alexei Dominguez,MEX,Forward,Pachuca,20,2005,7,7,467,49,25,53,51
Alexis Blin,FRA,Midfielder,Palermo,29,1996,7,2,305,33,34,48,64
Alexis Canelo,ARG,Forward,Lanús,33,1992,23,4,558,58,82,55,42
Alexis Castro,ARG,Forward,Estudiantes–LP,31,3988,22,12,1100,49,44,54,68
Alexis Cuello,ARG,Forward,San Lorenzo,25,2000,27,24,1881,60,46,55,60
Alexis Dominguez,ARG,Forward,Aldosivi,28,1996,10,1,227,30,14,24,59
Alexis Duarte,PAR,Defender,Santos,25,2000,3,3,270,49,32,31,23
Alexis Fariña,PAR,Midfielder,Cerro Porteño,20,2004,2,0,58,33,56,31,59
Alexis Francisco Peña,MEX,Defender,Necaxa,29,1996,13,13,1071,40,19,35,30
Alexis Fretes,PAR,Midfielder,Libertad,20,2005,5,3,263,36,30,54,38
Alexis Gutiérrez,MEX,Forward,América,25,2000,11,9,661,28,81,43,57
Alexis Maldonado,ARG,Defender,Banfield,28,3994,24,24,2066,40,32,36,57
Alexis Manyoma,COL,Forward,Estudiantes–LP,22,6009,16,2,432,31,51,78,74
Alexis Martin Arias,ARG,Goalkeeper,Cerro Porteño,33,1992,5,5,450,49,44,44,46
Alexis Segovia,ARG,Forward,Lanús,21,2004,19,11,880,47,50,70,67
Alexis Soto,ARG,Defender,Defensa y Just,32,1993,27,27,2277,50,87,86,63
Alexis Vega,MEX,Forward,Toluca,27,1997,12,10,854,69,93,19,40
Alexis Villa,ECU,Goalkeeper,LDU de Quito,24,2001,1,0,14,49,45,44,37
Alexsander,BRA,Midfielder,Atlético Mineiro,22,2003,6,3,357,46,60,71,68
Aleš Matějů,CZE,Defender,Spezia,29,1996,9,9,802,39,61,54,49
Alfie Devine,ENG,Midfielder,Preston,21,2004,11,8,651,80,67,67,52
Alfie Doughty,ENG,Forward,Millwall,25,1999,3,2,162,31,87,52,62
Alfie Gilchrist,ENG,Defender,West Brom,21,2003,2,1,60,35,22,27,71
Alfie Jones,ENG,Defender,Middlesbrough,28,1997,12,12,1078,67,31,22,51
Alfio Oviedo,PAR,Forward,Tigre,29,1995,17,3,540,69,25,49,56
Alfons Sampsted,ISL,Midfielder,Birmingham City,27,1998,1,0,6,33,13,9,31
Alfonso Alvarado,MEX,Forward,Monterrey,25,4000,12,10,792,59,22,43,60
Alfonso González,MEX,Forward,Atlas,31,3988,12,1,283,31,45,42,69
Alfonso Trezza,URU,Forward,Arouca,26,1999,9,9,661,67,35,21,39
Alfred Duncan,GHA,Midfielder,Venezia,32,1993,4,4,336,77,73,63,33
Alfredo Morales,USA,Midfielder,St. Louis,35,1990,25,11,1102,36,69,34,43
Alfredo Morelos,COL,Forward,Nacional,29,1996,8,5,463,74,54,36,37
Alhassan Yusuf,NGA,Midfielder,NE Revolution,25,2000,34,32,2934,62,64,71,58
Ali Ahmed,CAN,Forward,Vancouver W'caps,25,2000,22,12,1288,41,94,87,53
Ali Al Hamadi,IRQ,Midfielder,Ipswich Town,23,2002,1,0,12,33,13,69,13
Ali Maamar,MAR,Midfielder,Anderlecht,20,2005,7,5,361,38,64,82,47
Ali Ávila,MEX,Forward,Querétaro,22,2003,7,6,421,79,13,17,31
Alioune Ndoye,SEN,Forward,Vitória,24,2001,9,1,275,77,38,22,50
Alisa Randell,LBR,Midfielder,Minnesota Utd,18,2007,4,1,64,38,32,85,43
Alisson,BRA,Midfielder,São Paulo,32,3986,31,25,2171,64,56,46,40
Alisson Jesus,BRA,Forward,Estrela,20,2005,1,0,28,30,11,56,16
Alisson Rodrigues,BRA,Midfielder,Internacional,17,2008,1,0,26,33,15,25,58
Alisson Santos,BRA,Forward,Sporting CP,23,2002,7,0,57,31,88,98,25
Alistair McCann,NIR,Midfielder,Preston,25,1999,11,9,796,41,49,34,64
Alix Vinicius,BRA,Defender,RB Bragantino,25,1999,3,1,154,35,20,14,37
Aliyu Ibrahim,NGA,Forward,Houston Dynamo,23,4004,31,14,1380,55,63,75,66
Aljaž Ivačič,SVN,Goalkeeper,NE Revolution,31,1993,24,24,2160,49,42,44,39
Aljosa Vasic,SRB,Midfielder,Palermo,23,2002,3,0,36,33,21,27,29
Allahyar Sayyadmanesh,IRN,Forward,Westerlo,24,2001,8,5,429,35,78,68,53
Allan,BRA,Forward,Palmeiras,21,4008,29,6,747,47,60,64,80
Allan,BRA,Midfielder,Flamengo,28,3994,18,11,886,48,62,53,49
Allan,BRA,Forward,Botafogo (RJ),34,3982,23,10,860,30,58,29,68
Allan Oyirwoth,UGA,Midfielder,NE Revolution,18,2007,5,4,286,46,53,35,65
Allan Saint-Maximin,FRA,Forward,América,28,1997,10,5,496,72,96,26,34
Allanzinho,BRA,Forward,Fortaleza,25,4000,9,3,358,38,69,77,66
Allen Obando,ECU,Forward,Inter Miami,19,2006,6,1,157,68,20,19,64
Alonso Aceves,MEX,Defender,Pachuca,24,2001,13,13,1108,75,71,71,59
Alonso Coello,ESP,Midfielder,Toronto FC,26,1999,31,24,2168,61,58,49,64
Alonso Martínez,CRC,Forward,NYCFC,27,1998,30,29,2496,81,38,50,32
Alonso Ramírez,MEX,Midfielder,Atlas,24,2001,3,2,192,35,18,77,67
Alonzo Engwanda,BEL,Midfielder,Utrecht,22,2003,10,10,813,39,35,34,70
Alouis Diriken,BEL,Midfielder,Sint-Truiden,21,2004,4,0,57,54,48,44,52
Alphadjo Cissè,ITA,Forward,Catanzaro,19,2006,9,8,715,77,67,74,33
Alvaro Burgos,0,Defender,Puebla,0,0,3,3,270,81,23,61,44
Alvaro Montiel,0,Forward,Olimpia,0,0,1,0,19,31,44,49,59
Alvaro Ribeiro,POR,Defender,FC Dallas,20,2005,7,4,366,46,16,31,73
Alvas Powell,JAM,Defender,FC Cincinnati,31,1994,25,8,861,51,53,79,65
Alysson Edward,BRA,Forward,Grêmio,19,2006,22,14,1241,49,42,64,70
Alán Bautista,MEX,Midfielder,Pachuca,22,2002,13,11,974,76,69,60,57
Alán Montes,MEX,Defender,Sporting KC,25,2000,8,5,458,48,36,43,41
Amadou Dante,MLI,Defender,Arouca,25,2000,8,5,480,48,51,74,65
Amadou Mbengue,SEN,Defender,QPR,23,2002,11,9,842,37,42,46,59
Amahl Pellegrino,NOR,Forward,San Diego FC,35,3980,20,9,816,73,71,50,55
Amando Lapage,BEL,Defender,Westerlo,20,2004,1,0,45,35,19,26,29
Amankwah Forson,GHA,Midfielder,Norwich City,22,2002,1,1,59,33,21,18,16
Amar Dedić,BIH,Defender,Benfica,23,2002,7,7,576,77,87,93,40
Amar Sejdic,USA,Midfielder,Columbus Crew,28,1996,14,4,340,38,74,63,63
Amari'i Bell,JAM,Defender,Charlton Ath,31,1994,12,11,1012,38,53,53,52
Amaury García,MEX,Midfielder,Cruz Azul,23,2001,4,1,111,33,20,10,55
