Team,Average Age,Possession,Matches Played,Goals,xG,Shots,Shots on Target,Penalties Scored,Penalties Attempted,Shot Creating Actions,Goal Creating Actions,Passes Completed (Total),Passes Attempted (Total),Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Progressive Carries,Progressive Passes Received,Tackles,Tackles Won,Tackles Defensive Third,Tackles Middle Third,Tackles Attacking Third,Challenges Tackled,Challenges Attempted,Challenges Lost,Blocks,Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive Third,Touches Middle Third,Touches Attacking Third,Touches Attacking Penalty Area,Live-Ball Touches,Take-Ons Attempted,Successful Take-Ons,Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Ball Recoveries,Aerial Duels Won,Aerial Duels Lost,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions
FC Copenhagen,25.6,56.3,10,13,16.3,134,40,4,4,247,23,5095,6099,2087,2384,2436,2713,448,732,94,442,84,23,434,198,430,179,115,66,84,29,82,160,78,113,89,177,9,7184,569,2125,3507,1617,233,7180,170,74,4288,137,52,127,79,5051,25,0,0,126,117,13,4,0,0,452,170,167,15,45,30,1,0,0,0,0,15.7,30,115,341,37,40,94,7,6
FC Noah,28.1,48.2,6,6,7.3,86,36,0,0,159,12,2281,2821,1008,1135,991,1134,217,389,71,154,46,7,226,120,226,103,66,54,36,13,55,114,59,78,62,146,7,3533,418,1346,1411,810,123,3533,124,69,1926,87,26,86,43,2261,9,0,0,59,68,12,0,2,0,289,61,60,16,49,32,2,2,1,1,0,15.7,20,59,155,30,44,77,2,7
Fiorentina,25.8,54.0,12,28,24.1,193,72,2,2,343,49,5268,6261,2050,2292,2441,2729,604,920,149,401,115,32,488,269,481,191,118,94,75,22,92,177,85,110,107,218,9,7560,700,2251,3550,1854,339,7558,262,140,5307,235,72,163,96,5199,34,0,0,167,168,32,2,2,0,503,179,120,18,49,31,2,2,2,0,0,18.4,48,100,270,33,83,129,2,14
Gent,25.2,52.1,8,9,11.8,98,32,1,1,172,16,3322,4118,1339,1534,1554,1786,383,620,76,271,72,20,402,129,395,142,77,76,45,21,77,142,65,99,77,189,9,5040,513,1502,2295,1291,178,5039,123,48,2666,94,31,137,62,3288,12,0,0,105,87,16,0,0,0,389,124,101,11,40,29,3,0,0,0,0,10.0,23,59,189,40,45,92,1,3
Hearts,27.2,49.8,6,5,7.3,66,21,0,1,118,9,2240,2999,887,1085,1082,1291,216,473,46,153,47,10,217,87,213,120,80,41,63,16,53,108,55,69,58,106,0,3664,285,1050,1798,848,130,3663,98,48,2010,70,15,87,65,2223,11,0,0,70,75,6,0,2,0,280,140,134,9,23,14,1,2,2,0,0,8.5,22,85,127,27,45,63,2,3
Heidenheim,27.0,51.3,8,10,13.2,121,44,0,1,208,15,3217,4116,1185,1397,1620,1869,363,650,78,232,59,21,292,138,288,170,102,93,55,22,79,155,76,109,98,212,3,5139,636,1952,2131,1114,180,5138,141,69,2744,89,28,102,82,3180,16,0,0,112,106,17,0,1,0,378,146,177,11,39,28,2,1,1,0,0,12.7,39,105,292,36,63,129,7,11
HJK,26.0,47.3,6,3,5.4,50,18,0,1,77,5,2148,2739,895,1048,1012,1175,201,396,36,160,30,6,192,63,191,121,73,52,59,10,55,116,61,89,61,137,5,3467,464,1317,1543,638,84,3466,90,37,1939,44,16,109,68,2128,14,0,0,80,87,9,0,0,1,254,72,88,9,33,25,1,0,0,0,0,10.9,13,47,165,28,45,94,3,1
Jagiellonia,26.4,45.5,12,19,16.9,130,44,1,2,234,31,4094,5222,1826,2113,1764,2078,363,692,94,266,84,15,393,131,389,208,118,117,74,17,104,215,111,132,107,357,5,6636,803,2477,2935,1278,225,6634,185,85,3493,110,35,163,106,4054,28,1,0,154,154,34,1,0,1,521,163,174,12,46,35,4,0,0,0,0,14.6,22,87,269,42,78,184,12,10
KV,27.2,44.6,8,9,9.9,66,26,1,2,118,14,2573,3382,1111,1319,1120,1332,288,571,50,179,43,4,247,104,245,147,95,66,61,20,70,131,61,100,74,267,6,4378,635,1733,1808,882,134,4376,129,64,2283,74,21,132,49,2555,21,1,1,123,75,4,1,1,0,331,128,84,11,38,27,2,1,1,0,0,13.8,41,117,273,29,52,125,7,18
Larne FC,26.7,33.7,6,2,2.6,32,10,0,0,56,4,1360,1940,556,670,556,688,199,444,24,102,18,8,118,51,117,121,65,74,36,11,67,117,50,73,46,213,3,2631,466,1187,1033,443,48,2631,69,32,1277,25,11,82,38,1342,14,3,1,71,79,9,0,1,1,205,77,110,12,34,23,1,1,1,0,0,11.1,53,143,174,22,56,139,6,6
LASK,27.4,53.0,6,4,4.8,62,20,0,0,110,8,2411,3029,1199,1387,999,1167,173,345,45,153,42,9,252,93,251,89,46,47,32,10,41,94,53,63,56,158,1,3687,439,1273,1721,714,112,3687,76,38,1986,65,19,66,49,2396,13,1,0,67,73,11,0,2,1,253,73,68,14,30,17,1,2,2,0,0,12.6,14,40,148,26,32,91,8,7
Legia Warsaw,27.0,38.2,10,19,18.0,132,39,2,2,226,34,2959,3890,1336,1585,1263,1490,243,512,90,210,85,20,328,163,325,191,115,83,69,39,67,135,68,108,94,275,5,5097,642,1798,2033,1322,246,5095,166,71,2748,97,50,131,107,2933,25,2,2,120,109,20,1,1,0,450,135,97,12,55,42,5,1,0,1,0,16.3,29,81,194,35,63,129,9,5
Lugano,25.5,53.4,8,16,15.4,113,45,0,0,205,25,3591,4298,1512,1671,1647,1829,363,618,96,240,90,16,332,123,330,144,87,77,52,15,71,139,68,89,77,175,6,5187,610,1913,2248,1084,182,5187,122,65,2987,99,31,107,70,3568,25,3,0,115,118,13,0,2,1,330,97,115,12,38,26,3,2,1,1,0,12.8,53,121,346,30,65,106,5,1
Mladá Boleslav,25.9,41.0,6,7,8.0,80,34,0,1,131,10,1898,2491,737,880,922,1073,197,404,58,129,33,6,190,74,188,78,52,40,28,10,37,82,45,95,58,142,1,3182,484,1253,1267,699,96,3181,105,43,1565,65,16,81,59,1874,11,0,0,66,53,10,1,1,1,269,77,83,10,39,30,1,1,1,0,0,10.5,19,83,186,33,54,88,7,6
Molde,26.2,56.2,10,13,12.9,120,40,0,0,215,19,5302,6390,2373,2650,2426,2733,390,714,93,412,122,17,517,170,513,180,108,85,68,27,86,166,80,131,88,237,4,7619,593,2173,3563,1941,298,7619,185,76,4297,131,51,160,98,5255,23,3,2,128,115,9,0,0,0,517,154,113,16,35,19,2,0,0,0,0,15.1,32,99,367,41,60,140,9,20
NK Celje,26.0,52.1,12,24,21.5,149,54,2,4,277,42,4869,5869,1902,2129,2289,2545,584,915,112,362,98,24,432,223,425,180,97,89,74,17,79,188,109,111,113,266,3,7118,747,2357,3092,1735,277,7114,188,91,4214,169,61,167,93,4815,23,0,0,161,154,16,4,2,0,467,134,126,24,59,34,2,2,1,1,0,19.4,62,143,320,63,87,168,11,9
Olimpija,24.7,51.0,8,7,9.7,91,24,0,1,159,13,2838,3614,1008,1183,1381,1588,373,654,60,221,54,17,288,130,284,139,89,72,48,19,49,104,55,78,78,260,5,4644,526,1646,2091,961,154,4643,153,68,2601,90,24,139,81,2804,22,2,0,120,110,10,1,2,0,338,130,120,7,34,25,5,2,0,2,0,11.9,34,80,195,34,54,137,9,6
Pafos FC,28.5,56.3,10,14,16.9,161,56,0,1,289,27,4026,5007,1553,1777,1850,2132,487,805,116,369,120,41,478,190,476,154,96,66,60,28,79,157,78,91,62,172,2,6036,517,1815,2662,1626,298,6035,155,71,3494,121,43,153,67,3994,27,0,0,134,114,14,1,3,1,451,132,126,12,29,17,3,3,2,1,0,11.8,29,87,235,42,53,92,5,10
Panathinaikos,28.9,58.3,10,16,17.6,144,45,3,4,257,24,4803,5683,2335,2566,1918,2181,358,597,106,424,99,14,484,183,480,153,97,66,64,23,86,147,61,81,80,232,5,6749,538,1782,3148,1878,281,6745,191,87,4281,177,47,116,99,4767,24,1,1,112,154,11,4,1,0,399,116,121,14,47,33,4,1,1,0,0,15.4,18,69,256,38,44,98,7,14
Petrocub,27.6,38.5,6,4,4.4,37,9,2,2,68,6,1886,2441,835,983,795,948,173,350,24,113,29,11,173,67,171,109,66,64,38,7,60,127,67,76,61,202,2,3182,485,1520,1190,500,70,3180,84,39,1499,51,10,114,72,1868,11,0,0,73,64,9,0,1,0,277,62,85,13,34,21,0,1,1,0,0,11.5,20,83,156,33,45,105,10,3
Rapid Wien,24.9,53.2,10,14,19.3,187,57,0,0,323,24,4488,5543,2050,2331,1859,2152,407,712,130,375,104,24,455,211,454,219,125,102,82,35,115,193,78,142,106,238,8,6919,542,1898,3088,2006,346,6919,199,88,4180,169,59,173,87,4450,19,2,0,121,102,14,0,2,0,490,127,122,11,43,32,4,2,2,0,0,12.2,27,85,255,42,71,130,6,19
Shamrock Rov,26.6,42.5,8,12,9.2,74,32,0,0,131,19,2965,3737,1579,1747,1065,1271,230,497,62,249,46,10,255,116,253,131,81,62,50,19,70,140,70,86,61,247,12,4692,541,1701,2010,1017,118,4692,123,48,2532,86,25,133,82,2945,22,1,1,87,84,8,0,0,0,351,93,98,10,28,18,2,0,0,0,0,8.7,22,79,151,38,52,132,4,12
St. Gallen,25.9,50.8,6,10,9.0,82,27,0,0,140,20,2068,2744,895,1053,872,1081,247,449,58,192,58,12,246,99,245,97,63,49,40,8,54,109,55,76,58,136,5,3452,404,1181,1466,833,158,3452,102,47,1828,54,28,86,51,2059,15,0,0,76,54,15,0,1,1,278,83,101,18,50,33,0,1,1,0,0,15.6,27,57,183,27,50,81,6,8
The New Saints,29.2,35.7,6,5,5.3,50,15,1,1,91,9,1741,2260,737,839,748,891,209,428,36,96,27,17,110,77,109,124,82,77,41,6,54,106,52,86,56,195,3,2964,493,1390,1120,499,77,2963,90,47,1654,71,11,68,47,1727,8,0,0,60,54,0,0,1,0,238,55,65,10,41,31,1,1,1,0,0,14.3,32,93,186,12,56,98,5,1
TSC,26.0,57.1,8,12,12.3,129,38,0,1,224,21,3355,4179,1526,1765,1435,1647,301,538,88,286,62,11,327,124,323,137,87,45,67,25,70,152,82,80,86,164,4,5140,508,1571,2338,1281,195,5139,166,90,2963,96,39,138,92,3320,25,0,0,124,100,13,1,1,1,371,96,94,19,44,26,0,1,1,0,0,18.0,44,134,313,34,42,74,3,13
Vitória,26.4,52.9,8,15,16.4,151,55,1,1,259,26,3377,4087,1550,1715,1415,1643,312,529,113,294,87,18,375,162,370,164,117,85,57,22,91,155,64,79,75,175,2,5035,412,1463,2362,1249,209,5034,127,52,2874,114,42,122,65,3347,23,0,0,97,92,7,1,0,0,394,106,91,12,32,20,0,0,0,0,0,11.1,21,59,199,17,37,65,3,3
Arsenal,25.8,50.9,14,30,27.0,179,76,2,5,320,52,5647,6760,2787,3082,2417,2713,347,685,137,476,122,29,535,255,523,208,115,80,87,41,86,161,75,139,101,216,15,8123,677,2095,3635,2465,407,8118,268,122,4318,177,104,160,134,5578,27,0,0,156,135,23,3,4,0,521,162,151,10,42,30,6,4,2,2,0,14.3,74,195,398,57,82,144,16,23
Aston Villa,27.1,47.3,12,22,18.8,152,61,1,2,277,39,4617,5511,2124,2357,2171,2429,274,530,118,339,95,21,397,173,394,180,101,81,68,31,92,183,91,117,89,181,10,6680,698,2159,3008,1579,287,6678,222,101,3779,143,60,149,125,4479,19,0,0,123,125,16,2,1,0,485,124,95,12,60,48,5,1,1,0,0,15.9,52,126,400,41,67,114,13,8
Atalanta,27.7,53.3,10,22,24.5,171,61,1,3,309,41,4633,5529,2341,2572,1814,2046,321,549,138,332,136,45,517,278,515,130,77,56,45,29,72,153,81,88,72,147,7,6491,481,1615,2705,2244,321,6488,211,114,4696,215,75,132,85,4612,19,1,0,103,89,25,3,1,0,469,124,101,11,27,16,5,1,1,0,0,8.5,46,124,238,28,62,68,2,15
Atlético Madrid,28.5,47.4,10,22,14.5,123,48,0,0,222,39,4794,5690,2379,2638,1895,2139,345,589,100,338,101,26,419,210,419,195,122,104,64,27,105,192,87,103,97,184,9,6707,547,2000,3055,1711,234,6707,154,67,4462,173,55,130,73,4762,18,1,0,102,96,12,0,5,0,454,74,91,14,46,32,2,5,4,0,1,14.7,27,76,169,49,56,108,14,5
Barcelona,25.1,61.3,14,40,32.2,221,93,3,3,391,66,7645,8853,3527,3839,3334,3704,576,900,161,646,137,20,744,290,738,229,147,80,103,46,100,220,120,169,86,249,8,10369,839,2575,5187,2693,392,10366,318,149,5900,231,95,169,127,7595,14,2,0,125,161,14,3,4,1,592,132,149,24,59,36,4,4,4,0,0,23.7,26,108,454,63,73,151,14,55
Bayern Munich,27.7,64.7,14,31,33.6,282,101,5,5,508,53,8412,9700,4342,4684,3207,3535,596,948,216,812,234,36,892,376,889,231,138,79,95,57,118,237,119,160,122,177,15,11268,633,2207,5302,3847,584,11263,286,130,7248,306,122,183,131,8354,22,0,0,135,127,21,4,1,0,657,173,141,18,40,22,4,1,1,0,0,13.7,60,143,503,53,51,95,1,36
Benfica,25.8,44.7,12,20,23.6,167,64,4,4,300,35,4290,5426,1885,2167,1817,2110,481,839,123,328,103,26,390,207,387,259,144,138,94,27,129,263,134,148,136,285,7,6869,803,2492,2915,1518,293,6865,188,78,4161,140,58,176,116,4250,28,1,0,130,103,37,4,2,0,547,175,144,19,60,41,4,2,2,0,0,14.0,21,94,249,67,87,173,8,8
Bologna,26.0,49.3,8,4,8.1,94,27,0,0,162,6,2831,3597,1103,1284,1342,1556,349,569,64,188,49,17,269,131,266,165,101,78,66,21,78,151,73,97,67,143,3,4516,488,1611,1985,966,163,4516,116,55,2668,75,39,121,73,2808,28,0,0,115,104,25,0,2,0,359,100,105,9,34,24,2,2,1,1,0,12.1,22,72,249,41,38,76,7,10
Brest,28.0,41.8,10,9,11.4,131,38,0,0,226,16,3212,4178,1357,1585,1387,1654,432,790,94,268,66,24,270,135,266,189,111,81,70,38,95,209,114,109,108,223,10,5312,640,1784,2353,1234,166,5312,172,79,2533,83,27,122,88,3182,20,0,0,113,116,14,0,3,1,460,144,131,21,52,32,2,3,3,0,0,19.4,87,194,258,42,49,119,13,18
Celtic,27.1,50.9,10,14,14.5,94,37,1,2,172,25,4645,5454,1960,2177,2369,2635,288,515,75,328,64,5,337,147,335,201,104,93,71,37,102,174,72,115,97,246,9,6565,803,2458,2856,1307,181,6563,146,67,3893,100,39,125,67,4607,10,1,0,92,79,18,2,3,1,374,101,97,17,54,38,3,3,2,0,1,17.3,24,59,330,43,68,156,2,5
Club Brugge,25.5,43.8,12,11,11.5,121,43,2,2,221,18,4965,5833,2031,2242,2413,2626,478,812,98,321,67,14,351,143,348,190,113,102,67,21,108,208,100,106,102,261,8,6963,892,2728,3026,1259,178,6961,133,53,3565,92,39,132,64,4918,19,2,0,104,98,12,1,3,2,465,102,105,19,53,35,3,3,2,1,0,17.8,58,129,367,39,89,148,12,8
Dinamo Zagreb,27.3,37.9,8,12,7.0,75,24,0,0,134,23,2289,2967,1007,1170,995,1141,223,479,59,152,47,12,186,120,183,160,96,98,47,15,87,168,81,98,85,232,4,3921,631,1623,1582,764,122,3921,135,68,1998,92,25,127,83,2273,19,0,0,84,80,15,0,4,0,323,83,95,19,46,27,2,4,4,0,0,19.2,44,130,197,19,72,131,3,3
Dortmund,26.5,52.0,14,31,27.8,191,75,7,8,361,57,6376,7572,3069,3384,2607,2865,517,902,152,525,137,41,560,259,556,269,160,130,95,44,141,274,133,152,130,249,13,9095,901,2835,4188,2158,365,9087,281,137,5702,185,86,190,124,6336,24,0,0,172,129,33,8,0,1,658,140,129,19,58,40,5,0,0,0,0,17.7,43,128,407,64,97,133,8,21
Feyenoord,24.8,42.5,12,19,13.3,121,44,2,3,208,34,4056,5027,1606,1833,1898,2123,437,788,96,305,64,13,377,184,376,190,113,103,64,23,102,206,104,139,106,243,8,6297,914,2345,2695,1318,208,6294,211,88,3610,131,56,140,91,3994,18,2,0,120,108,20,3,5,4,444,105,125,26,71,47,2,5,2,2,1,26.3,48,156,399,45,88,174,11,8
Girona,27.4,50.9,8,5,9.6,77,28,0,2,147,9,3393,4007,1496,1632,1540,1706,288,477,65,232,46,17,284,133,280,135,82,68,53,14,73,131,58,86,60,135,4,4784,619,1708,2127,994,129,4782,137,67,2890,83,29,108,77,3371,25,1,1,116,94,12,1,4,4,296,62,62,13,44,33,1,4,2,2,0,13.7,22,73,227,29,62,96,5,2
Inter,29.5,47.0,15,25,24.3,175,57,5,7,317,44,6308,7560,2872,3178,2742,3079,532,907,126,396,113,27,488,227,485,208,134,132,50,26,100,210,110,178,138,402,12,9121,1400,3795,3569,1847,313,9114,190,100,5812,196,54,167,101,6265,33,0,0,143,168,42,6,1,1,583,182,147,16,71,56,8,1,1,0,0,18.2,67,159,564,67,119,233,14,3
Juventus,24.8,51.1,10,12,11.8,115,37,1,1,202,19,4501,5299,1969,2168,2024,2233,424,660,85,337,61,22,401,217,398,176,116,88,67,21,87,162,75,131,75,195,12,6445,712,2236,2888,1392,200,6444,229,110,3934,149,59,165,88,4467,15,2,1,113,92,25,1,2,0,415,100,116,11,48,36,3,2,1,1,0,15.9,39,109,280,58,62,133,8,5
Leverkusen,26.5,56.3,10,14,15.1,151,55,1,1,258,22,5376,6208,2834,3063,2091,2307,382,622,116,474,87,22,430,186,428,148,97,72,56,20,66,148,82,91,81,178,8,7221,636,1841,3309,2100,260,7220,139,61,4158,140,57,118,74,5338,23,2,2,118,83,14,0,1,0,412,116,108,12,34,22,5,1,1,0,0,12.2,40,97,252,36,75,100,6,10
Lille,25.4,48.4,10,17,11.5,93,36,2,2,167,30,4130,4982,1733,1964,1934,2137,355,606,66,254,76,9,346,164,345,145,86,67,49,29,67,130,63,99,84,203,8,6076,675,2047,2709,1395,205,6074,219,115,4197,161,49,166,109,4098,23,2,2,101,108,16,1,2,0,443,103,95,13,45,32,1,2,2,0,0,15.4,44,125,257,34,82,112,5,3
Liverpool,26.8,51.0,10,18,20.7,143,57,2,3,250,33,4597,5463,2137,2351,1945,2179,404,692,104,373,103,8,469,197,468,147,89,53,66,28,73,168,95,126,97,162,10,6527,678,1976,2930,1689,301,6524,205,79,3909,139,76,119,81,4557,19,1,0,107,82,14,3,1,0,448,72,90,6,44,37,6,1,0,1,0,12.5,45,120,323,37,72,104,6,14
Manchester City,26.7,63.4,10,20,21.0,167,62,3,4,300,33,6003,6682,3093,3293,2590,2785,271,424,130,492,144,15,608,315,601,122,72,35,49,38,70,129,59,85,51,110,10,7565,463,1319,3430,2861,378,7561,181,79,5019,265,92,103,94,5917,11,0,0,79,71,10,3,2,0,379,64,50,20,48,28,3,2,2,0,0,16.7,18,45,252,36,41,64,5,19
Milan,26.1,53.0,10,15,13.8,149,59,0,0,266,25,4479,5195,1969,2183,2099,2308,337,528,111,388,86,18,472,244,468,149,92,67,58,24,68,147,79,85,80,179,8,6245,549,1727,2997,1601,268,6244,256,117,4152,185,88,113,76,4430,28,2,2,107,112,14,0,1,0,389,109,79,13,53,40,1,1,1,0,0,12.0,26,73,297,38,71,100,7,17
Monaco,24.7,51.1,10,16,13.3,118,43,1,1,210,28,3827,4824,1812,2055,1653,1928,324,638,91,341,56,13,360,170,357,170,108,83,73,14,72,149,77,116,127,213,12,5967,541,1812,2755,1455,202,5966,171,81,2721,113,48,165,100,3791,23,3,2,118,124,28,1,3,0,464,119,136,17,49,32,2,3,3,0,0,18.5,18,87,222,62,72,105,7,3
Paris S-G,24.2,61.4,17,37,35.6,319,115,1,2,579,61,9866,11284,4543,4909,4289,4648,743,1133,258,748,169,17,865,492,856,336,203,161,124,51,157,300,143,185,145,376,14,13329,1129,3559,6207,3685,584,13327,429,203,7471,376,196,206,181,9795,19,1,1,155,172,27,0,0,1,833,166,159,15,56,42,7,0,0,0,0,17.2,46,160,400,63,101,178,16,18
PSV Eindhoven,25.9,54.8,12,22,19.3,206,76,1,1,371,38,5574,6696,2348,2598,2463,2761,594,939,161,467,116,29,571,225,563,242,154,98,111,33,117,226,109,129,130,235,11,8093,867,2433,3687,2041,335,8092,207,87,4456,148,73,152,89,5520,24,1,0,127,117,16,1,1,0,560,157,156,24,65,41,1,1,1,0,0,22.4,73,163,429,53,77,158,13,11
RB Leipzig,25.3,47.5,8,8,12.3,102,36,1,1,164,12,3190,3925,1539,1725,1370,1573,218,413,72,221,66,17,247,96,245,143,94,56,56,31,53,132,79,99,66,184,7,4805,600,1831,2018,995,153,4804,120,50,2848,62,22,97,83,3166,15,0,0,89,70,19,0,0,1,318,93,76,15,39,25,0,0,0,0,0,11.7,14,51,241,38,70,112,6,5
RB Salzburg,22.5,45.1,8,5,6.6,74,22,0,1,131,9,3157,3862,1414,1627,1369,1547,264,458,56,240,51,5,283,176,283,169,100,92,57,20,90,185,95,110,73,157,10,4808,564,1642,2062,1169,148,4807,183,89,3391,147,37,118,76,3131,16,1,0,92,81,14,1,1,0,353,57,92,27,56,29,0,1,1,0,0,20.6,28,93,186,27,63,105,5,17
Real Madrid,26.8,53.1,14,29,28.0,209,83,1,3,376,46,7112,8112,3479,3711,2845,3111,550,897,168,522,122,19,600,317,596,246,163,122,78,46,108,204,96,122,129,233,1,9558,992,2964,4107,2565,383,9555,292,142,6568,220,109,159,114,7074,34,1,1,162,148,14,3,5,0,545,86,81,22,82,59,1,5,3,1,1,25.2,22,118,377,70,87,152,21,4
Red Star,26.5,44.6,8,13,9.3,93,30,1,1,156,23,2637,3343,1099,1241,1207,1418,280,509,64,205,51,13,283,144,282,126,70,78,38,10,64,126,62,84,80,166,12,4204,490,1417,1856,973,152,4203,141,77,2256,96,33,132,76,2613,13,0,0,77,106,19,1,1,0,316,75,115,22,47,25,1,1,1,0,0,18.8,43,119,168,27,76,102,4,1
